day	Anno	celltype	UMAP_1	UMAP_2	Cdx2	Dnd1	Dppa3	Gsc	Hhex	Ifitm3	Lhx1	Mesp1	Msx1	Msx2	Otx2	Sox17	Sp5	T
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.3	2.55	0	0	0	2.1	0	2.7	0	3.6	0	0	3.1	0	2.1	2.1
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.11	-1.61	0	0	0	2.7	0	3.1	0	3.6	2.1	2.1	2.1	0	2.1	2.1
E6.75	E675_Primitive_Streak	Primitive_Streak	4.28	3.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	3.2	3.55	0	0	0	2	0	0	2	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.71	-1.08	0	0	0	2.3	0	2.3	0	5.4	0	0	0	0	3.3	3.3
E6.75	E675_Primitive_Streak	Primitive_Streak	4.71	3.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	2.23	-2.09	0	0	0	2.9	0	0	3.5	0	0	0	2.9	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.49	1.44	0	0	0	0	0	2.2	0	0	0	0	2.2	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-6.21	-0.66	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.63	1.88	0	0	0	2.6	0	0	0	0	0	0	2	0	0	2.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.87	1.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	1.1	-2.25	0	0	0	2.4	0	0	0	3.4	0	0	0	0	0	3
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.2	3.01	0	0	0	2.7	0	2.7	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.81	1.64	0	0	0	2.7	0	2.1	0	0	0	0	0	0	3.1	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.99	1.1	0	0	0	0	0	0	0	0	0	0	0	0	3.4	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.21	-1.92	0	0	0	0	0	2.8	0	0	0	0	3.5	0	2.8	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.38	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.43	-2.97	0	0	0	0	0	2.2	0	0	0	2.8	0	0	3.5	3.5
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.15	1.88	0	0	2.4	2.4	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.26	-0.47	0	0	0	2.8	0	2.8	0	0	0	0	0	0	2.8	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.98	2.54	0	0	0	1.4	0	1.4	0	0	0	0	3	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.78	2.99	0	0	0	0	0	2.4	0	0	0	0	2.4	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.87	-1.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-4.56	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	1.86	-2.45	0	2	0	0	0	0	0	5	0	0	2	0	3.5	3.3
E6.75	E675_Primitive_Streak	Primitive_Streak	-4.23	0.33	0	0	0	0	0	2.3	0	0	0	0	2.3	0	3.6	2.3
E6.75	E675_Primitive_Streak	Primitive_Streak	3.76	-0.2	0	0	0	0	0	0	0	3	2.4	0	2.4	0	4.1	3
E6.75	E675_Primitive_Streak	Primitive_Streak	0.82	0.3	0	0	0	3	0	0	0	0	3	0	0	0	3	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.3	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.15	-0.74	0	0	0	0	0	3.7	0	0	0	0	0	0	4.4	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-4.44	1.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.03	-2.97	0	0	0	0	0	0	0	3.5	0	2.2	0	0	2.9	2.9
E6.75	E675_Primitive_Streak	Primitive_Streak	2.21	-1.51	0	0	0	3.8	0	0	0	0	0	0	0	0	3.5	2.5
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.1	0.35	0	0	0	0	0	0	0	0	2.8	2.8	2.8	0	3.5	3.5
E6.75	E675_Primitive_Streak	Primitive_Streak	1.8	-1.82	2.6	0	0	3.7	0	0	2.6	2.6	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.66	-1.87	0	0	0	2.7	0	2.7	0	2.7	0	0	2.7	0	2.7	2.7
E6.75	E675_Primitive_Streak	Primitive_Streak	1.13	-2.5	0	2.5	0	0	0	0	0	4.3	2.5	0	3.6	0	3.6	3.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.37	-2.01	0	0	0	2.5	0	0	0	3.2	0	0	0	0	4.4	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.77	-3.59	0	2.7	0	0	0	0	0	0	0	2.7	0	0	0	2.7
E6.75	E675_Primitive_Streak	Primitive_Streak	-4.66	1.55	0	0	0	0	0	0	0	0	0	0	0	0	2.7	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.65	-3.53	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.74	2.99	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.66	0.22	0	0	0	3.4	0	0	0	0	2.1	0	2.1	0	2.1	2.8
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.18	1.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.39	1.84	0	0	0	0	0	0	0	0	0	0	2.4	0	0	2.4
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.88	-3.03	0	0	0	0	0	3.5	0	0	0	2.5	2.5	0	0	3.5
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.61	3.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.25	0.95	0	0	0	2.4	0	3	0	0	0	0	3	0	2.4	3.4
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.67	-2.3	0	0	0	2.2	0	0	0	3.3	0	0	0	0	2.9	2.2
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.1	-0.39	0	2.9	2.9	0	0	4.3	0	0	0	0	0	0	0	3.6
E6.75	E675_Primitive_Streak	Primitive_Streak	0.34	-2.9	0	0	2.3	3	0	2.3	0	4.2	0	0	3	0	2.3	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-4.24	1.48	0	0	2.4	0	0	0	0	0	2.4	0	0	0	2.4	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-4.31	1.38	0	0	0	2.3	0	0	0	0	0	0	2.3	0	0	3
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.39	2.54	0	0	0	0	0	0	0	0	0	0	4.1	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.25	0.16	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	0.76	-1.7	2	3	0	0	0	0	0	3.7	0	2	2	0	0	3
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.8	1.41	0	2.2	0	0	0	0	0	0	0	0	3.2	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.19	-1.04	0	0	0	0	0	0	2.1	4.5	2.7	0	0	0	2.1	3.1
E6.75	E675_Primitive_Streak	Primitive_Streak	-4.84	0.99	0	0	0	2.5	0	0	0	0	0	0	3.1	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.88	-2.48	0	0	0	0	0	3.7	0	3.7	0	0	0	0	0	3.7
E6.75	E675_Primitive_Streak	Primitive_Streak	-5.26	1.4	0	0	0	0	0	0	0	0	0	0	0	2.7	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.85	1.09	0	0	0	3.2	2.6	2.6	0	0	0	0	0	0	0	3.2
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.94	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	5.46	-0.36	0	0	0	3.2	0	0	2.6	0	0	0	3.2	0	3.2	0
E6.75	E675_Primitive_Streak	Primitive_Streak	3.45	-0.63	0	0	0	3.7	0	0	0	0	2.6	0	3.3	0	3.7	0
E7	E7_Anterior_Primitive_Streak	Anterior_Primitive_Streak	3.7	-0.95	0	0	0	4.3	1.8	0	3.9	1.8	3.7	0	3	0	3	1.8
E7	E7_Primitive_Streak	Primitive_Streak	-2.24	-0.74	0	2	0	2	0	0	0	0	0	0	0	0	2	2.6
E7	E7_Primitive_Streak	Primitive_Streak	-5.4	0.34	0	0	0	0	0	1.7	0	0	0	0	1.7	0	0	0
E7	E7_Primitive_Streak	Primitive_Streak	3.23	0.48	0	0	0	3.4	2.7	0	2.1	0	0	0	2.7	0	2.1	0
E7	E7_Primitive_Streak	Primitive_Streak	-2.45	1.41	0	0	0	0	0	0	0	0	1.7	0	2.9	0	0	0
E7	E7_Primitive_Streak	Primitive_Streak	-4.17	0.63	0	0	0	2.9	0	1.9	0	0	0	0	2.6	0	0	0
E7	E7_Primitive_Streak	Primitive_Streak	-4.36	-1.54	0	0	0	2.6	0	2	0	0	0	0	2	0	3.3	0
E7	E7_Primitive_Streak	Primitive_Streak	-0.31	3.8	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0
E7	E7_Primitive_Streak	Primitive_Streak	-0.36	0.54	0	2.3	0	2.3	0	0	0	0	2.3	0	0	0	1.7	2.9
E7	E7_Primitive_Streak	Primitive_Streak	2.18	0.94	0	0	0	3	0	0	2.4	0	0	0	3	0	1.8	1.8
E7	E7_Primitive_Streak	Primitive_Streak	-5.95	1.79	0	0	0	0	0	0	0	0	0	0	2	0	0	0
E7	E7_Primitive_Streak	Primitive_Streak	-0.61	-2.23	0	0	0	0	0	2	0	2.6	2.6	0	2	0	3.6	2.6
E7	E7_Anterior_Primitive_Streak	Anterior_Primitive_Streak	5.67	-0.84	0	0	0	3.1	1.5	1.5	3.6	3.8	0	0	2.7	3	3.4	1.5
E7	E7_Primitive_Streak	Primitive_Streak	-3.24	-1.14	0	0	0	0	0	0	0	2.8	2.8	0	0	0	0	2.8
E7	E7_Primitive_Streak	Primitive_Streak	-2.58	2.93	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0
E7	E7_Primitive_Streak	Primitive_Streak	0.56	-1.74	0	0	0	2.4	0	0	0	0	0	0	1.8	0	3.9	0
