day	Anno	celltype	UMAP_1	UMAP_2	marker:Slc2a3	marker:Postn	up:Msx1	up:Pitx2	up:Hoxb6	up:Tsc22d1	up:Peg3	up:Klf6	up:Hoxb8	up:Jun	up:Cdx4	up:Twist1	up:Rarg	up:Sp5	up:Prrx1	up:Hoxd4	down:Foxf1	down:Hlx	down:Lin28a
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.6	-4.5	2.9	0	0	2.9	0	3.6	4	2.3	0	0	0	0	0	0	0	0	3.6	0	2.3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3	4.99	3.3	0	3.3	2	2	4	3	3	0	2	0	0	0	2.7	0	0	3.5	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.03	-0.42	1.9	0	4	2.8	2.8	3.5	3.7	0	2.5	1.9	0	0	0	0	0	0	4	1.9	1.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.04	-2.64	3.2	0	3.2	2.2	2.2	4.3	2.2	2.2	2.9	0	0	0	0	0	2.2	0	4.6	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.54	3.36	4.6	0	3.6	0	3.4	2.9	3.7	3.1	1.7	3.1	2.3	1.7	0	0	0	0	2.6	0	2.6
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.97	-2.38	3.6	0	3.4	0	0	3.6	3.6	0	2.1	2.7	0	2.7	0	3.1	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.12	-1.38	3	0	0	3.7	0	3.7	0	0	0	0	0	0	0	0	0	0	3.7	0	4.1
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.02	0.38	3.7	3	3.7	0	3	3	4.3	0	3.7	3	0	3	0	0	0	0	3.7	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-2.61	-6.58	2.8	0	0	2.8	2.8	2.8	4.3	0	0	0	0	0	0	0	0	0	3.8	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.07	0.26	2.9	0	3.3	2.9	2.2	2.9	3.8	0	1.6	2.6	0	2.6	0	0	0	0	3.5	0	2.2
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.89	-4.99	0	0	0	0	0	3	3	0	0	2.3	0	0	0	0	0	0	3.4	0	2.3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.75	3.93	2.3	0	4.4	1.7	2.7	2.3	3.3	1.7	2.7	0	2.7	1.7	2.3	0	0	2.3	4	0	1.7
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.95	-0.88	2.3	0	0	3	0	3.3	3	3.3	0	2.3	2.3	0	0	0	0	0	3.6	2.3	2.3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.42	5.23	3.1	0	4	0	4.6	0	3.5	0	2.5	0	3.1	0	0	0	0	2.5	4.8	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.48	-0.66	3.5	0	3.3	2.4	1.8	2.8	4	2.8	0	2.8	0	2.4	0	1.8	0	0	2.8	1.8	2.4
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.67	1.03	2.5	0	4.1	0	0	3.9	2.5	0	2.5	0	0	0	0	0	0	0	3.9	0	2.5
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-2.28	2.33	4.5	0	3.6	0	0	3.3	3.3	0	0	0	0	0	2.9	2.3	0	0	3.6	0	2.9
