day	Anno	celltype	UMAP_1	UMAP_2	Car10	Hivep3	Jazf1	Ntng1	Pou6f2	Tshz2	Zfp804b
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.5	2.77	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.66	-0.72	0	0	4.7	0	5.3	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-5.01	-2.26	0	0	5.2	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	4.47	2.29	0	0	6.1	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	4	4.98	0	0	0	5.2	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.34	-0.15	5.9	0	3.6	0	0	3.6	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.83	1.7	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-5.29	-3.57	0	0	0	0	0	5.5	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	3.74	-0.54	0	4.8	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.94	-4.42	0	0	0	6.6	0	6.7	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	4.75	-1.2	0	0	4.7	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.37	-4.41	3.7	0	3.7	4.7	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.91	-5.38	4.7	0	0	0	0	5.3	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.37	-3.51	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.88	0.04	0	0	3.9	0	0	4.6	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-7.5	-1.88	0	0	4.5	0	0	4.5	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-3.58	-4.43	4.9	0	0	0	0	3.8	6.2
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	0.14	-2.36	0	0	0	4.5	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.87	3.04	0	0	0	0	0	4.5	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-5.18	-3.14	0	0	5.4	0	5.4	5	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.95	0.26	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-3.55	3.26	5.1	0	0	0	0	7.1	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	4.84	-0.92	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	0.06	4.54	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.79	1.61	0	4.6	0	0	0	4.6	0
