day	Anno	celltype	UMAP_1	UMAP_2	marker:Gata6	marker:Pdgfra	marker:Sox17	up:Foxq1	up:Tfec	up:Hnf1b	up:Gata4	up:Sox7	up:Xbp1	up:Creb3l2	up:Hesx1	up:Runx1	up:Nfxl1	up:Zfp37	up:Meis3	down:Pou5f1	down:Nanog	down:Rest	down:Sox2	down:Mybl2	down:Zfp57	down:Klf2	down:Esrrb
E3.5	E35_ICM	ICM	-5.92	6.57	3.2	2.8	0	0	0	0	0	0	2.6	0	0	0	0.6	0	0	5.3	4	4.4	4.1	1.9	1.8	3.9	0
E3.5	E35_ICM	ICM	-8.58	4	2.1	0	1.5	0	0	0	0	0	3.5	0	0	0	0	0	0	4.7	4.5	4.5	2.5	2.6	1.8	0	0
E3.5	E35_ICM	ICM	-7.49	5.34	2.7	1.6	0	0	0	0	0	0	0	0	1.3	0	0	0	0	5.1	5.1	4	2.6	2.4	0	2.2	2.6
E4.5	E45_Epiblast	Epiblast	16.49	-24.28	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	0	5.4	4	4	2.7	3.2	3.7	2.3	3.7
E4.5	E45_Epiblast	Epiblast	16.05	-24.31	0	0	0	0	0	0	0	0	3.2	0	0	0	0	0	0	5.5	0	4.1	3.1	3	1.8	2.2	2
E4.5	E45_Epiblast	Epiblast	16.51	-23.95	0	0	0	0	0	0	0	0	3.9	0	0	0	0	0	0	5.1	0.7	1.9	2.7	0	1.3	0	0
E4.5	E45_Hypoblast	Hypoblast	4.72	-0.73	2.5	0.6	0.6	4.3	2.7	3	3.4	3.3	4.4	0.6	1.1	1.4	3.1	1.1	1.7	4.6	0	4	0	2.9	1.6	0	0
E4.5	E45_Epiblast	Epiblast	16.98	-24.61	0	0	0	0	0	0	0	0	0.2	0	0	0	2	0	0	5.4	3.1	4.2	2.1	4	3.1	2.7	2.7
E4.5	E45_Hypoblast	Hypoblast	7.03	0.29	1.3	3.3	3.4	3.3	2.5	2.3	3.9	3.5	4.4	2.9	1.6	2.7	0	0.1	0.7	4.2	0	1.8	0	2.4	1.5	0	0.7
E4.5	E45_Hypoblast	Hypoblast	6.51	0.07	1.6	3.2	1.1	3.7	2.9	4.3	3.9	4.2	4.4	1.2	2.1	2.4	2.4	1	1.4	4.6	0	3.1	0	2	1.2	0	0
