day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hes3	up:Nkx1-2	up:Hoxb9	up:Sox2	up:Foxb1	up:Nr6a1	down:T	down:Tbx6	down:Msx2	down:Mixl1	down:Mesp1	down:Hes7	down:Klf5	down:Snai1	down:Hand1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.34	-1.59	0	3.2	3.2	3.2	4.1	0	2.6	2.6	0	2.6	2.6	0	0	0	3.2	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.78	1.06	4	0	3	3	2.6	3.2	0	2.6	2	3.6	0	0	0	0	2	0	2	2
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.82	-0.07	3	2.3	2.3	2.3	3.6	0	0	0	3	3	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.17	-4.3	2.5	2.9	2.5	2.5	1.9	2.5	2.5	2.5	2.5	0	0	0	0	2.9	2.9	0	1.9	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.94	-1.01	0	2.2	3.3	3.3	0	0	2.9	2.2	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.23	-0.3	3	0	3.4	3.4	3.7	2.4	0	0	0	2.4	0	0	0	0	2.4	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.32	-3.85	2.7	0	3.1	3.1	3.6	2.1	0	2.7	2.1	0	0	0	2.1	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.98	3.72	0	2.5	2.5	2.5	3.8	3.6	0	3.2	2.5	0	0	0	0	0	3.2	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.32	-1.3	3.4	2.8	0	0	3.2	2.2	2.2	0	2.8	3.8	0	0	0	0	3.2	2.2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.87	3.09	2.4	2.4	2.4	2.4	3.4	2.4	0	0	2.4	3.4	0	0	0	0	0	0	0	2.4
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.6	3.55	3.1	2.5	0	0	3.8	3.5	0	0	3.1	2.5	0	0	0	0	2.5	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.27	-3.33	0	0	2.6	2.6	2.6	1.9	3.2	0	1.9	1.9	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.99	0.04	3.4	0	3	3	2.4	2.4	2.4	2.4	2.4	2.4	0	0	0	0	2.4	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.73	2.79	4.8	4.2	2.4	2.4	2.4	2.4	0	0	2.4	3	0	0	0	0	3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.56	2.67	4.3	0	2.7	2.7	3.3	2.1	0	0	2.1	2.7	0	0	0	0	3.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.88	0.06	3.4	0	3	3	3.4	0	2.3	0	0	0	0	0	0	0	2.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.54	-0.31	0	0	2.9	2.9	3.8	0	0	0	2.3	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.63	3.24	3	0	2.4	2.4	3.7	0	2.4	0	2.4	2.4	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.56	0.81	4.3	2.9	0	0	3.8	4	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.76	0.07	4.1	2.1	3.1	3.1	0	2.1	2.1	0	0	0	2.1	0	0	0	2.1	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.03	-0.43	3.2	3.2	4.3	4.3	3.2	0	2.6	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.85	-2.37	3	3.3	3.3	3.3	2.6	3	2	0	3	2	0	0	0	0	2	2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.61	2.4	4.4	2.9	1.9	1.9	1.9	2.5	0	2.5	0	3.5	0	1.9	0	1.9	3.4	0	0	1.9
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.04	1.68	3.9	3	2.3	2.3	3.7	3	0	0	3.4	3.4	0	0	0	0	3.4	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.29	-5.29	0	0	0	0	2.7	0	2.1	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.96	2.35	2.3	2.3	2.3	2.3	3.6	2.3	3.3	2.3	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.06	1.42	3.7	1.9	1.9	1.9	3.5	1.9	1.9	0	1.9	3.1	0	0	0	0	2.9	0	0	1.9
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-5.75	0.13	3.9	0	3.2	3.2	2.9	0	2.9	0	2.2	4.1	0	0	0	0	2.2	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.78	2.01	3.3	0	2.2	2.2	2.2	0	0	0	3.5	4.1	0	0	0	0	3.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.18	1.49	2.6	2.6	2.6	2.6	2.6	0	0	0	2.6	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.49	-4.28	2.9	0	3.6	3.6	3.6	0	1.9	0	1.9	1.9	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.7	5.22	3.6	0	2.9	2.9	0	3.6	0	2.9	2.9	2.9	0	2.9	2.9	0	4	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.06	-2.3	0	2.4	2.4	2.4	3.9	0	0	2.4	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.94	-4.18	0	0	2	2	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.52	5.46	3.9	2.3	2.3	2.3	0	3	0	0	0	2.3	0	2.3	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-5.31	0.89	4.1	2.3	2.3	2.3	3.4	2.3	0	0	2.3	4.2	0	0	0	0	3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.43	0.59	3	0	3.4	3.4	3.7	0	0	0	2.3	0	0	0	0	2.3	0	2.3	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.03	-3.63	0	0	0	0	3.2	0	2.1	2.8	3.2	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.51	0.79	2.3	2.3	0	0	2.3	0	2.3	0	2.3	2.3	0	0	0	0	3.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.88	-2.03	4.1	0	3.8	3.8	3.6	0	2.5	0	0	0	0	0	0	0	0	0	0	0
