day	Anno	celltype	UMAP_1	UMAP_2	marker:Nanog	marker:Sox2	marker:Pou5f1	marker:Utf1	marker:Esrrb	marker:Fgf4	up:Aire	up:Tcf15	up:Zfp428	up:Zfp534	up:Hmga1	up:Kdm5b	up:Zfp462	up:Rbpj	up:Grhl2	up:Otx2	up:Lef1	up:Zfp423	up:Pou2f1	up:Rarg	up:Gbx2	up:Hmga1-rs1	up:Bnc2	up:Etv1	up:Rex2	up:Nfib	up:Meis2	up:Sall3	down:Gata6	down:Esrra
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-6.84	7.11	3.9	2.5	5.7	4.5	2.3	2.4	0	1	2.2	1.2	1.4	1.8	0	1.2	0.4	0	0	0	1.4	1.7	0	0	0	0	0.4	0	0	0	2.4	0
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-5.31	3.3	4	2.2	5.2	4.3	1.3	4	0	0	3.8	1.6	0	2.5	0	3.1	0	0	0	0	1.7	0	0	0	0	0	0.2	0	0	0	0	0.2
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-7.65	7.57	3.9	2.6	5.3	4.2	2.3	1.6	0	0	2.2	1.2	0.9	1.5	1.9	1.8	0	0	0	0	0	0	0	0.2	0	0	0.4	0	0	0	2.3	0.8
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-7.39	6.38	3.3	0.4	5.7	4.1	0	2	0	0	2.4	0.1	1.8	1.8	0	3	0	0	0	0	1.1	0	0	0.4	0	0	0	0	0	0	1.1	0.9
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-4.76	5.96	2.8	2.2	5.4	4.2	2.9	0	0	1	0	0.2	2.1	0	0.5	2.3	1.5	0.2	0	0	1.7	0	0	1.2	0	0	0.8	0	0	0	2.5	0.2
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-4.89	6.83	0.6	2.3	4.8	3.2	2.1	0	0	1.3	0.9	0	1.3	2.7	1.3	2	1.8	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	3.6	0
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-6.11	7.54	2.7	1.7	5.5	4.8	3.3	2.4	0	0.3	1.8	0	2.2	2.6	0	2.4	0.6	0	0	0	0.8	0	0	0.3	0	0.8	0.3	0	0	0	4	0
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-5.85	6.97	4.1	1.9	5.4	3.8	1.2	0	0	0	1.9	0.4	1.5	1.8	0	1.4	1.4	0	0	0	1.8	0	0	0.4	0	0	0.4	0	0	0	2.5	0
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-8.25	6.5	0.3	2.1	5.3	3.4	2.1	0	0	0	2	1.6	1.6	1.8	0	3.2	1.8	0	0	0	1.8	0	2.3	0	0	0.8	0.3	0	0	0	3.7	0.6
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-4.04	7.12	0	0	5.2	3.4	3.1	0	0	0	0.5	0.3	1.3	2.1	0	2.1	0	0	0	0	0.7	0	0	0.5	0	0	0.8	2.6	0	0	4.4	0.3
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-4.44	6.58	3.4	2.8	5.5	3.6	3.8	0.5	0	0.3	1.6	1	1.9	1.6	1.4	2.3	0	0	0	0	2.1	0	0	0.3	0	1.5	0.9	0	0	0	4	0
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-5.94	3.86	4.2	1.3	3.9	3	0	0	0	0	0	2.7	0	0.1	0	0	0	2.6	0	0	0	0	0	0	0	0	0.5	0	0	0	1.4	0.4
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-8.65	5.65	2.7	0.1	4.6	1.9	0	0	0	0	2.1	1.5	0	0.9	0	0.4	0.1	0	0	0	0	0	2.5	0	0	1.4	0.2	0	0	0	3.3	0.2
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-8.35	5.29	2.5	1.7	5.1	3.6	2.4	0	0.2	0	0.3	1.2	0.2	0.9	0	1.4	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	2.7	0.6
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-5.65	4.75	3.6	0.8	5.5	4.1	2.3	2.4	0	0	2.1	1.7	2.9	2.4	0	2.2	3	0	0	0	0	0	0	1.4	0	0	0.7	0	0	0	2.8	0.2
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-6.21	3.04	4	2.9	5	3.4	0	4	0	0	1.7	1.6	2.2	2.9	0.7	1.5	0	0	0	0	0	0	0	1.2	0	0	0.2	0	0	0	2.9	0.6
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-5.85	4.25	3.5	2.8	5.5	4.4	1.2	4.1	0	0	1.2	0.5	2.3	3.1	0	2.7	0.8	0	0	0	0.6	0	0	0.9	0	0	0.6	0	0	0	2.4	0.4
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-5.39	5.28	4	3.7	5.8	3.6	1.7	4.2	0	0	2.9	1.5	1.6	2.9	0	1.3	1.1	0	0	0	0	0	0	0.5	0	0	0.4	0	0	0	0	0.3
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-4.7	5.42	4.2	1.1	5.3	4.4	2.9	3.3	0	0	1.7	1.5	0.2	3.3	0	0.2	1.3	1.5	0	0	1.1	0	1.5	0	0	0	0.2	0.2	0	0	0	0.4
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-6.76	5.96	4.2	2.5	5.5	3.3	2.3	2.1	0	0	0.8	1.4	0.2	3.7	0	1.1	0	0	0	0	1.7	0	0	0.2	0	0	0.2	0	0	0	2.7	0.3
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-6.55	3.45	3.4	2.8	5.3	3	0.8	0	0	0	1	2.1	0	1.9	0	1.8	0	0	0	0	0.5	0	0	0	0	0	0.5	0	0	0	1.4	0.2
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-8.74	4.6	0	1.8	4.8	2.3	0.5	0	0	0	2.2	0.3	0	0	0	1.8	0	0	0	0	0.5	2.4	0	0	0	0	0.3	0	2.7	0	2.3	2.4
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-6.11	5.83	3.6	2.1	5.6	4.4	0	3.1	0	0	1.8	0.7	3.2	2.6	0	2.3	0.5	2.7	0	0	0	1.3	0	1	0	0	0.5	0	0	0	2.9	0.7
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-7.68	3.16	3.6	0	4.9	3.6	2	2.2	0	2	1.8	1.6	0.2	3.9	0	0	3	0	0	0	1.3	0	0.3	0	0	0	0	0	0	0	4.3	0.7
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-5.32	6.04	3.9	2.2	5.5	3.4	1.2	3.4	0	0	2.1	0.8	1.9	3.5	0	0.4	0	2	0	0	2	0	0	0	0	0	0.8	0	0	0	1.5	2.4
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-6.52	2.91	3	2.2	5.7	3.8	0	3.1	0	0	0	1.5	0	2.1	0	2.4	3.6	3	0	0	3	0	0	0	0	0	0	0	0	0	3.1	0
E3.5	E35_Inner_cell_mass	Inner_cell_mass	-7.03	2.83	0	1.8	5.6	3.4	3.5	0	0	0.2	3	0.7	1.6	0.7	1.8	1	3.7	0	0	0	0	0	0	0.4	0	0	0.8	0	0	0	3.2	0.6
