day	Anno	celltype	UMAP_1	UMAP_2	Apoa2	Apoe	Arid3c	Creb3l3	Gli3	Hand1	Lamb1	Lhx1	Myc	Sparc	Srebf2	Tfap2c	Ttr	Zic3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.36	1.95	2.6	7.2	3.1	2.9	0	0	2.7	1.4	0.7	5.5	4	0	5.7	3.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.1	0.92	2.3	7	2.6	3.1	0	0	2.7	3.3	0	4.8	4.4	0	5.3	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.18	-0.97	1.6	7	2.6	2.5	0	1.1	3.2	3.8	0	5.1	4	0	6.2	3.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.56	1.61	0.5	7.2	2.2	3.2	0	1.9	3.4	1.6	2.4	4.6	3.9	2	5.6	2.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.87	3.04	1.8	7.6	3.2	3.4	0	0	3.6	2	0	5.6	3.4	0	5.5	3.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.9	-1.55	2.1	6.9	3.1	1.9	0	0	3.4	3.8	0	4.8	3.6	0.4	5.7	3.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.74	3.65	3.5	7.3	0.8	4.3	0	0.3	3.5	0	0	6	3.8	0	5.6	0.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.92	2.51	3.7	7.5	3.5	3.5	0	0	2.3	2.3	0	5.5	4.2	0.7	6.5	3.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.88	-2.32	3.3	6.7	3.3	2.4	0	1.2	3.6	4.2	1	4.9	3.9	0.6	5.9	4.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.63	0.48	3.9	7.1	3.4	2.7	0	0	4	2.8	0	5	3.6	0	6.3	2.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.74	2.66	1.4	7.7	2.8	3.7	0	0	3.8	1.6	0	5.7	4	0	5.9	3.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.92	3.25	0.2	7.2	2.7	3.4	0	0	3.3	0.6	0	5.7	3.7	0	5.3	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.19	-2.59	1.5	6.6	2.4	2.4	0	0.4	3.9	2.6	0.9	5	3.6	0.8	5.2	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.8	0.59	1.2	7.2	3	2.4	0	0	3.7	2.8	0	4.7	4.1	0	5.1	3.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.26	-0.24	1	6.8	2.5	1.9	0	0.9	3.8	0.8	1	5.7	3.8	0.2	5.2	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.63	-1.92	1.9	7.2	1.9	1.4	0	0	3.2	3.4	0.2	5.5	4.1	0	5.3	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.14	3.76	1.6	7.3	1.5	4.1	0.6	1.4	4.1	0	0.1	6.5	3.7	0.6	5.3	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-3.21	-3.14	0	6	0	0	0	0	6.1	0	1.6	7.1	3.9	1.6	2.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.79	3.86	3.8	8.1	3.2	4.9	0	0	4.2	0	0	6.5	4.5	0	6.5	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.83	2.67	2.6	7.4	0	3.4	0	2.4	3.3	1.3	2.9	5.6	3.9	0	5.8	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.38	0.54	1.9	7.1	2.5	1.8	0	0.7	3.4	1.9	0	4.9	3.6	0	5.4	3.4
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-2.14	0.52	0	5.2	2	0	0	2.8	0	2.7	0	3.8	3.7	1.9	4.3	3.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.94	2.96	2.1	7.4	2.1	4.7	0	0	3.2	0	1.3	5.7	3.2	0.3	5.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.88	2.24	2.9	7.2	2.6	3.8	0	1.3	3.4	1.1	0.9	5.2	3.9	1	5.7	2.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.71	1.47	2.3	7	2.1	3.3	0	0.3	1.5	1	0.8	5.2	3.5	0.7	5.5	2.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.07	-0.04	3.3	6.9	1.8	1.6	0	1.1	3.1	2.7	0	5.1	3.5	1.8	5.8	2.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.44	-0.88	1.7	6.7	1.5	3.6	0	2	3.1	3.6	0	5.5	3.4	1.4	4.8	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.9	-0.18	1	6.7	2.6	3	0	1.5	3.8	3.9	0	5.4	3.8	1.9	5.3	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.29	1.71	0	6.3	2.7	2.2	0	1.5	3	0	0	4.9	3.7	1.4	5.3	1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.07	0.92	0	5.3	0	2.9	0	1.8	3.8	0	2.4	4	2.7	0	4.5	3.9
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-2.11	0.05	2.4	6.8	1.6	3	0	3.5	1.4	0	3.5	5.7	3.3	0.9	5.3	1.6
