day	Anno	celltype	UMAP_1	UMAP_2	marker:Bmp4	marker:Fzd4	up:Hand1	up:Foxf1	up:Msx2	up:Msx1	up:Etv2	up:Fos	up:Prdm6	up:Cdx2	up:Hoxb2	up:Hoxd1	up:Isl1	up:Prrx2	up:Irf1	up:Zfp703	down:Sp5	down:Lhx1	down:Mesp1	down:Mesp2	down:Pou5f1	down:Gsc	down:Sox4	down:Mixl1	down:Otx2	down:Eomes	down:Zic5	down:Irx5
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	5.37	-1.42	0	0	2.6	3	2.6	2	2	0	0	0	0	0	0	0	2	0	0	2	3.7	0	3.7	0	2	2.6	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	2.95	0.72	0	0	4.2	3.6	3.1	3.4	0	2.7	0	0	0	0	2.1	0	0	0	2.7	0	4.4	2.7	3.7	0	2.7	2.7	0	2.1	2.1	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.32	-0.67	0	0	0	0	0	2.7	0	0	0	0	0	0	0	0	0	0	2.1	3.6	4.9	3.6	4.4	2.7	2.1	3.9	0	3.1	3.1	2.1
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	3.79	3.93	2.3	0	4.9	3.8	3.6	3.3	0	0	0	0	0	2.3	0	0	2.3	0	2.3	0	4.4	0	3.6	0	3	3.6	0	0	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.73	2.72	0	0	0	3.2	2.8	0	0	2.2	0	2.2	2.2	0	0	0	0	0	2.2	0	5	2.2	4.2	0	2.8	3.2	2.2	2.8	2.2	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	1.39	5.15	0	0	3.4	2.4	3.7	2.4	0	0	0	0	0	0	2.4	0	0	0	0	0	4.4	0	3	0	0	4.1	0	3.9	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	4.19	-0.07	0	0	3	2.3	3	0	0	0	0	0	3	0	0	0	0	0	0	2.3	3.9	0	3.6	3	2.3	3	0	3	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-4.2	3.04	0	0	0	0	2	0	2.6	2	0	0	0	0	0	0	0	0	3.2	2.6	4.9	0	4.7	3	2.6	3	0	0	2	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.08	-0.04	0	0	3.3	0	2.5	3.9	1.9	0	0	0	0	2.5	0	0	0	0	1.9	2.5	4.5	0	3.7	1.9	2.8	4.4	0	4.2	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-4.75	1.3	0	0	0	0	0	0	0	2.1	0	0	0	2.1	0	0	0	0	3.4	2.1	3.8	2.1	4.1	0	2.1	3.8	0	0	0	2.1
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.82	4.6	0	0	1.7	2.7	2.9	1.7	0	1.7	0	0	0	0	0	0	0	0	3.2	0	4.5	2.7	3.8	1.7	3.2	4.1	0	3.2	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.34	0.53	0	0	2.7	0	2.1	2.7	2.1	2.1	0	0	0	0	2.1	0	0	0	2.7	3.6	4.6	2.7	3.9	2.1	2.1	4.1	2.1	3.1	2.1	2.1
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	2.33	-2.65	0	0	2.1	2.1	0	0	2.1	0	2.1	0	0	0	0	0	0	0	0	4.2	3.8	0	3.1	2.8	3.4	3.1	0	2.1	2.1	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-5.67	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	2.2	4.6	0	4.1	0	2.9	4.1	2.2	3.8	2.2	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.67	0.71	0	0	1.8	0	1.8	1.8	2.4	0	0	0	0	0	0	0	0	0	3.6	3	4.8	1.8	3.7	3	3.7	2.7	1.8	3	0	1.8
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	1.08	1.21	0	0	0	1.9	0	1.9	1.9	0	0	0	0	0	0	0	0	0	1.9	2.5	3.9	2.5	4.7	0	3.4	3.9	0	2.9	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-4.7	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	4.6	2.8	4.1	2.8	3.7	3.9	0	4	2.2	2.2
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	1.84	0.09	0	0	2.9	3.2	3.2	3.4	0	0	2.5	0	0	0	0	0	0	0	0	3.4	4.6	1.9	4.2	1.9	2.5	3.2	0	2.9	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	1	-2.55	0	0	2	0	0	0	3	2	2	0	0	0	2.6	0	0	0	2	3	4.8	2.6	4.1	0	3.2	3.5	2	3	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.78	0.8	0	0	2.8	3.3	2.4	3.5	0	0	1.8	1.8	1.8	1.8	0	0	1.8	0	3.6	1.8	4.4	1.8	4.2	1.8	1.8	2.4	1.8	2.4	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-5.08	2.11	0	0	0	0	1.7	2.3	0	0	1.7	0	0	0	0	0	0	0	2.9	2.3	4	0	4.4	2.3	2.7	3.6	1.7	3.1	0	1.7
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.61	-0.06	0	0	0	0	0	1.7	2.3	0	0	0	0	0	0	1.7	0	0	3.3	4	5.5	2.3	4.6	3.2	3.2	4.6	2.7	2.9	1.7	2.3
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	4.03	0.27	0	0	3.3	1.6	2.6	3.3	4.5	1.6	0	0	2.2	2.2	0	0	0	0	2.2	2.9	4.4	0	3.6	1.6	3.1	3.3	1.6	3.3	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.72	1.3	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	4.1	3.4	4.9	3.1	4.4	2.6	2.6	4.1	2.3	3.4	1.7	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.31	-2.46	0	0	0	0	0	2.1	0	0	0	0	2.1	0	0	0	0	0	2.7	4.1	4.4	0	3.4	3.6	2.1	3.6	0	3.6	2.1	2.1
