day	Anno	celltype	UMAP_1	UMAP_2	marker:Tnnt2	marker:Myl4	marker:Myl7	up:Bcl11a	up:Nfib	up:Nfia	up:Mecom	up:Tox	up:Foxp2	up:Sox5	up:Npas3	up:Nr3c1	up:Gli3	down:Nr6a1	down:Arid3b	down:Gata4	down:Lin28b	down:Lef1	down:Mef2c
E9.5	E95_First_heart_field	First_heart_field	5.52	2.5	3.8	0	0	0	5.2	0	5.9	0	0	0	0	0	0	4.5	0	3.8	0	3.8	3.8
E9.5	E95_First_heart_field	First_heart_field	-3.23	4.57	0	4.1	0	0	0	0	6.4	5.2	4.8	0	4.1	0	0	0	0	5.2	4.8	4.1	0
E9.5	E95_First_heart_field	First_heart_field	-2.84	3.39	5.3	5.5	6	0	0	0	5.6	0	4.4	4.4	0	0	3.7	3.7	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	1.63	0.64	5.2	5.2	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-1.2	-0.77	3.6	4.2	5.5	3.6	4.2	3.6	6	0	4.6	4.2	0	0	3.6	4.6	0	0	0	0	4.2
E9.5	E95_First_heart_field	First_heart_field	-2.19	-1.22	4	0	4	4	0	0	0	0	0	0	0	4	4	0	4.6	5.7	0	4	5.3
E9.5	E95_First_heart_field	First_heart_field	-2.57	3.44	5.4	5.2	5.7	0	0	0	6.1	0	0	4.3	3.7	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	1	1.16	5.5	5.2	4.2	0	0	0	4.8	0	5.2	0	0	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-2.32	-5.21	0	0	0	0	0	0	0	0	6.5	0	4.1	0	0	0	0	4.1	0	0	4.7
E9.5	E95_First_heart_field	First_heart_field	-5.77	-2.44	0	0	0	0	5.9	5.5	0	0	5.7	0	5	0	3.6	3.6	0	6.4	0	3.6	0
E9.5	E95_First_heart_field	First_heart_field	-2.4	-3.12	0	0	0	5	5.7	0	0	0	5	5	0	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	6.55	1.34	4.9	0	3.9	0	4.9	4.9	0	0	3.9	0	0	0	0	3.9	0	4.5	0	3.9	3.9
E9.5	E95_First_heart_field	First_heart_field	3.61	-0.76	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-3.99	-1.07	0	0	0	0	5.3	0	0	0	5.3	0	0	0	0	0	0	6	0	0	0
E9.5	E95_First_heart_field	First_heart_field	5.58	0.9	5.3	0	0	0	0	4.9	0	0	4.2	0	4.9	0	0	0	0	0	0	0	4.2
E9.5	E95_First_heart_field	First_heart_field	5.97	1.97	5.4	0	0	0	5.8	4	4	4	0	0	0	0	0	4.7	0	4	0	0	4
E9.5	E95_First_heart_field	First_heart_field	3.64	-3.94	5.3	0	3.7	3.7	5.5	4.8	0	0	0	0	0	0	0	3.7	4.4	5.1	0	4.8	0
E9.5	E95_First_heart_field	First_heart_field	3.79	2.23	4.7	0	0	0	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7
E9.5	E95_First_heart_field	First_heart_field	-2.21	-4.84	0	0	0	0	0	0	0	0	4.8	0	5.5	0	0	0	0	0	0	0	4.8
E9.5	E95_First_heart_field	First_heart_field	6.06	-2.99	0	4.8	0	0	4.5	4.1	3.5	3.5	0	0	0	0	0	0	0	4.1	0	0	3.5
E9.5	E95_First_heart_field	First_heart_field	-1.04	4.34	0	4.7	0	0	4.7	4.1	0	0	0	5.1	0	0	0	0	0	0	4.7	4.7	0
E9.5	E95_First_heart_field	First_heart_field	3.79	-4.01	4.4	4.4	5	0	0	3.1	3.7	0	0	4.8	0	3.1	0	4.4	0	4.1	0	4.6	4.4
E9.5	E95_First_heart_field	First_heart_field	-7.1	-2.79	0	0	0	0	4.8	5.5	0	0	0	0	4.2	0	0	4.8	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-5.19	-3.95	0	3.6	0	0	0	3.6	0	0	5.5	3.6	0	0	4.3	0	0	6	0	4.9	5.9
E9.5	E95_First_heart_field	First_heart_field	-2.88	3.88	4.1	0	3.5	3.5	4.1	4.1	0	0	4.1	3.5	4.1	0	3.5	0	0	0	3.5	0	3.5
E9.5	E95_First_heart_field	First_heart_field	7.24	-0.95	0	3.5	0	0	4.2	0	0	0	4.6	0	0	0	0	0	0	4.2	0	3.5	5.1
E9.5	E95_First_heart_field	First_heart_field	-2.05	-0.06	5.4	4.3	4.3	0	0	3.7	5.4	0	0	5	4.3	0	0	3.7	3.7	4.3	0	3.7	3.7
E9.5	E95_First_heart_field	First_heart_field	4.98	-0.69	3.4	4.1	4.1	4.1	4.5	0	0	0	3.4	0	0	0	0	0	0	4.5	4.1	0	4.1
E9.5	E95_First_heart_field	First_heart_field	1.2	-3.11	3.9	4.6	0	0	4.6	0	0	0	0	0	4.6	0	0	5.3	0	6.7	0	0	4.6
E9.5	E95_First_heart_field	First_heart_field	-0.24	-1.72	4.7	4.1	4.7	0	0	0	4.7	0	0	0	4.1	0	0	0	0	4.1	0	0	4.1
E9.5	E95_First_heart_field	First_heart_field	-6.26	-3	4	0	0	0	4	0	0	0	5.8	4	0	0	0	0	4.7	5.6	0	0	4
E9.5	E95_First_heart_field	First_heart_field	-1.27	-2.83	5	5	5.9	0	0	0	3.9	0	2.8	0	0	0	0	0	0	5.3	3.5	0	5.5
E9.5	E95_First_heart_field	First_heart_field	-6.85	-2.9	0	0	0	0	0	4.8	0	0	5.8	0	3.7	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-1.52	3.86	0	0	0	0	0	0	0	5.9	5.9	0	4.5	0	4.5	4.5	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	2.32	-1.12	0	0	5	0	5	0	0	0	4.4	5.7	0	0	0	0	0	4.4	0	0	6.1
E9.5	E95_First_heart_field	First_heart_field	-6.76	-2.32	4.8	4.8	0	0	4.1	4.1	4.8	0	5.2	0	4.1	0	0	4.1	0	4.8	4.8	4.1	4.1
