day	Anno	celltype	UMAP_1	UMAP_2	Cdx2	Hesx1	Irx3	Meis2	Six3	Sp5
E7.25	E725_Epiblast	Epiblast	0.34	4.37	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.62	1.25	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.35	-1.03	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.48	-0.72	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.61	2.41	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.51	3.86	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.63	-1.21	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.99	0.91	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.54	-2.18	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.7	3	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.99	3.29	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.57	-1.79	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.19	1.04	0	1.9	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.74	-0.09	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.82	-2.47	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.77	2.29	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.5	-1.47	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.87	1.84	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.96	-2.76	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.74	3.26	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.45	2.14	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.34	3.3	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.35	1.27	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.13	3.71	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.62	4.93	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.85	-3.21	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.16	-3.45	0	0	0	0	0	1.9
E7.25	E725_Epiblast	Epiblast	-1.44	0.02	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.14	2.95	0	2	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.69	2.35	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2	2.4	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.59	0.21	0	1.9	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.97	-3.48	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.97	-0.25	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.7	3.73	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.31	-0.32	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.58	-0.21	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.02	-1.08	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.81	1.93	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.32	3.04	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.82	3.31	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.26	-1.4	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.03	-1.88	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.72	1.75	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.11	-1.8	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.74	2.16	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.77	-2.54	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.38	-1.64	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.81	1.21	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.21	3.12	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.51	3.34	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.74	4.2	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.61	4.62	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.8	2.41	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.45	3.03	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.79	1.47	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.25	2.65	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.28	-2.86	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.45	-3.73	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.08	-0.64	0	0	1.8	0	0	0
