day	Anno	celltype	UMAP_1	UMAP_2	Atp1a2	Epha7	Itga11	Lamc3	Mkx	Nfia	Zfpm2	Zic1	Zic4
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.57	-1.3	0	4.9	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-5.26	-4.85	0	5.8	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.82	0.57	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.55	2.53	0	5.9	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.33	3.84	0	0	0	0	0	0	4.7	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.09	-0.6	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.13	-0.19	0	4.7	0	0	0	4.7	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.6	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	0.02	-1.34	0	0	0	0	0	5.3	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.35	0.47	0	0	0	0	5.2	5.2	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.48	-0.87	0	5	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.08	-2.03	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.6	-0.57	0	6	0	0	0	5.3	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.24	-1.35	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.11	-0.17	0	5.5	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.63	-0.55	0	7.1	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.04	-2.79	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.4	-1.53	0	4.7	0	0	0	0	0	0	4
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.07	-1.1	0	4.3	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.64	-1.18	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.02	-1.08	0	4.9	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.66	0.12	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3	1.47	0	0	0	0	5	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.24	1.06	0	4.2	0	4.2	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.41	-4.43	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.62	-1.31	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.1	0.99	0	6	0	0	0	4.9	0	4.9	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	6.08	-2.3	0	6.2	0	0	0	0	0	4.6	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.12	0.87	0	4.6	0	0	0	4.6	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.64	-3.52	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.8	-1.03	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.11	-0.9	0	0	0	0	0	0	4.7	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.33	0.95	0	6.9	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.42	-3.45	0	0	0	0	0	0	5.2	0	0
