day	Anno	celltype	UMAP_1	UMAP_2	marker:Isl1	marker:Tbx1	up:Nkx2-5	up:Nkx2-6	up:Jun	up:Tlx1	up:Maff	up:Mef2c	up:Arid3b	up:Tsc22d1	up:Etv5	up:Sox9	up:Xbp1	up:Irx2	up:Pax6	up:Hey2	down:Lyar	down:Foxf1	down:Mycn	down:Hoxb1	down:Hoxa1	down:Gata6	down:Osr1	down:Alx1	down:Hoxb2	down:Hoxa2	down:Twist1	down:Hoxd1	down:Meox1
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.57	2.79	0	0	0	0	0	0	0	2.5	0	3.1	0	0	0	0	0	0	4	2.5	4	0	0	2.5	2.5	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	0.09	-4.68	2.6	3.7	3.7	0	3.3	0	2	2	0	2.6	0	0	0	2	0	2	3.8	2	3.5	0	0	2.6	2	0	2	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	5.77	-1.51	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	3.5	3.5	3.5	0	0	2.8	0	2.8	3.5	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.78	1.81	2.8	0	3.1	0	0	0	0	3.4	0	3.1	0	0	0	2.1	0	0	3.4	3.4	2.8	0	2.1	3.4	0	0	2.1	2.1	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.78	1.34	1.7	0	3.5	0	0	0	0	4.1	2.3	3.6	0	0	2.9	0	0	0	4	3.1	2.3	0	0	3.7	2.3	0	2.9	0	1.7	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.15	-5.94	2.6	0	2.6	0	0	0	2.6	0	0	0	0	0	3.7	0	0	0	3.7	0	2.6	0	2.6	3.3	2.6	0	0	0	2.6	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	3.25	3.4	0	0	0	0	2.3	0	0	1.7	2.3	2.3	0	0	0	0	0	0	4.3	3	3.4	3.2	3	2.7	2.3	2.7	0	0	2.3	2.3	2.3
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.3	3.19	0	0	3.7	0	0	0	0	4.3	0	3.4	0	0	3.1	0	0	0	3.4	0	0	0	0	3.1	0	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	2.45	-3.18	3	2.4	2.4	0	3	0	0	2.4	0	4.1	0	0	2.4	0	0	0	4.6	3.9	2.4	0	0	0	0	2.4	3.4	2.4	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.06	-5.72	0	0	0	0	2.8	0	1.8	0	1.8	3.3	0	1.8	3.6	0	1.8	0	3.1	0	2.4	2.8	1.8	1.8	0	2.4	2.8	0	3.1	1.8	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.48	1.78	2.9	0	0	0	0	0	0	4.7	0	4.3	0	0	4	0	0	0	3.6	0	0	0	0	4	0	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	5.12	-2.43	3	2.3	0	0	3.4	0	0	0	0	2.3	0	0	2.3	0	0	0	3.9	3	3.4	0	2.3	3.4	2.3	2.3	3	2.3	0	0	3
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	7.39	2.65	2.5	0	0	0	2.5	0	0	2.5	0	3.2	0	0	3.2	0	0	0	4.1	3.2	4.1	2.5	3.2	0	3.9	2.5	2.5	0	2.5	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	6.03	-0.52	2.3	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	3.6	3.3	3.6	0	0	2.3	0	2.9	2.9	0	0	0	2.9
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.08	-1.05	2.8	0	2.2	0	2.2	0	0	4.4	2.8	2.5	2.2	0	3	0	0	0	4.1	3	2.5	1.6	2.2	2.2	0	1.6	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	2.81	-0.96	0	2.9	2.9	0	2.9	0	0	0	0	0	0	0	0	0	0	0	3.6	4.5	4.5	0	2.9	2.9	2.9	0	3.6	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	7	1	2.3	0	0	0	0	0	0	0	0	2.3	0	0	2.9	0	0	0	3.8	0	2.9	2.3	2.9	0	3.3	2.9	3.3	2.3	2.3	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.21	3.45	0	0	0	0	0	0	0	0	3.1	3.7	0	0	3.7	0	0	2.4	3.7	0	4.4	0	2.4	2.4	0	0	0	0	2.4	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.84	-4.86	3.4	2.4	2.4	0	0	0	0	3	0	3	0	0	3	2.4	0	0	3.9	0	3	0	2.4	0	0	0	0	0	3	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.56	1.41	0	0	3.4	0	0	0	0	3.7	0	0	0	0	0	0	0	0	3.9	3	3.4	0	0	3.7	2.4	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	3.29	-3.34	0	0	2.2	0	0	0	0	2.2	0	3.2	0	0	0	0	0	0	4.5	3.9	4.2	2.9	2.2	2.2	0	0	2.2	2.2	2.2	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.38	-3.01	3.5	0	2	0	0	0	0	3.9	2.6	2.6	0	0	3	0	0	0	3	2.6	3.3	0	0	3	0	0	0	0	0	2	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.11	4.31	0	0	0	0	3.5	0	0	2.2	0	3.5	0	0	2.2	0	0	0	3.9	0	3.9	0	2.2	0	0	2.2	2.8	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.73	-5.74	0	0	0	0	2.2	0	0	2.2	2.2	3.9	0	0	3.5	0	2.2	0	3.5	2.2	3.7	3.5	2.2	0	0	2.8	2.2	2.2	2.2	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.71	2.53	0	0	3.2	0	0	0	0	3.4	2.2	3.7	0	0	0	0	0	0	3.7	2.6	1.6	2.2	2.2	1.6	0	0	2.2	1.6	2.2	0	3
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	4.8	4.15	0	0	0	0	0	0	0	0	0	3.5	0	0	2.5	0	0	0	4.3	3.5	3.5	0	0	0	0	0	3.5	0	2.5	2.5	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	2.54	0.02	2.4	0	0	0	1.8	0	0	0	1.8	3.4	0	0	2.7	0	0	0	4.4	2.4	2.7	3	2.4	2.7	1.8	3	3.4	2.7	1.8	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.23	2.01	2.7	0	2.7	0	0	0	0	4.4	0	2.7	0	0	3.4	0	0	0	4	0	0	0	0	3.4	0	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	4.58	2.04	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	4	3.7	2.6	3	2	2.6	2	3	2	0	0	3	2
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	3.7	4.74	0	0	0	0	2.3	0	0	0	0	3.6	0	0	2.3	0	0	0	3.8	3.6	4.2	2.9	2.9	2.3	0	2.3	2.3	2.3	2.3	2.9	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	4.45	4.36	0	0	0	0	2.1	0	0	0	0	3.4	0	0	0	0	0	0	4.4	4.3	3.4	2.1	0	3.1	2.7	2.1	3.1	0	3.1	3.1	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.69	-1.75	0	2.2	3.2	0	0	0	0	3.2	2.2	3.2	0	0	0	0	0	0	4.4	2.2	2.8	0	0	2.2	0	2.8	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	5.39	1.54	2.7	2.1	0	0	0	0	0	0	0	3.1	0	0	0	0	0	0	3.9	2.1	4.1	2.1	0	2.7	2.1	3.4	2.7	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.39	-3.88	2	0	2.6	0	0	0	0	3.8	3.3	3.7	0	0	2.6	0	0	0	3.3	0	2	0	2	2	0	0	2	0	0	2.6	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-5.93	4.9	0	0	3.2	0	2.4	0	1.8	3.7	1.8	2.4	0	0	1.8	1.8	0	0	3.7	3.2	1.8	1.8	2.4	2.4	1.8	0	1.8	1.8	0	2.4	1.8
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.79	1.63	2.4	0	3.7	0	0	0	0	2.4	0	4.1	0	0	0	2.4	0	0	3.7	0	0	0	0	2.4	0	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	3.27	0.51	2.2	0	2.2	0	0	0	2.2	0	2.2	2.2	0	0	0	0	0	0	3.9	4.4	4.1	0	0	3.7	0	2.2	3.7	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	0.49	-4.01	2.5	2.5	3.6	0	3.2	0	0	0	0	0	0	0	2.5	0	0	0	4.1	2.5	2.5	2.5	0	2.5	0	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	1.49	0.84	2.1	0	3.1	0	0	0	0	2.7	2.1	2.7	0	0	2.1	0	0	0	4.2	3.1	3.6	0	2.1	3.4	2.1	0	2.1	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-6.21	-0.52	0	0	3.4	0	2.8	0	0	3.4	2.8	4.5	0	0	2.8	0	0	0	2.8	0	0	0	0	3.8	0	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.14	-2.33	3.8	0	3.3	0	0	0	0	3.6	0	2.9	0	0	2.9	0	2.3	0	3.8	2.9	2.3	2.3	0	2.9	0	0	2.3	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-6.32	-0.45	2.4	0	3.5	0	0	1.8	0	4.1	2.8	3.3	0	0	3.5	0	0	0	4	0	0	0	0	1.8	0	1.8	2.4	0	1.8	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.51	0.13	2.7	0	2.7	0	0	0	2.7	2.7	0	3.7	0	0	3.3	0	2.7	0	2.7	0	0	0	0	4	0	0	2.7	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	3.62	-2.58	2.2	3.2	2.2	0	0	0	0	2.8	0	2.8	2.2	0	0	0	0	0	4.5	3.9	2.8	2.2	2.8	2.2	0	2.2	2.2	0	2.2	0	2.2
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.48	-3.42	0	0	3.7	0	2.2	0	0	2.2	2.9	3.5	0	0	0	0	0	0	4.2	3.5	2.2	0	2.2	3.2	0	0	2.2	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.18	-3.82	2	0	0	0	2	0	0	2.6	2	2.6	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.98	-2.31	2.2	0	2.9	0	0	0	0	0	2.2	3.2	0	0	0	0	0	0	4.7	0	2.2	0	0	0	0	2.2	2.9	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	1.13	-4.84	2	2.6	0	0	2.6	0	0	0	0	3	2	0	2.6	0	0	0	4.2	0	3.9	0	0	2.6	0	0	2	0	2	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	2.06	1.8	2	0	0	0	2.7	0	0	3.3	2.7	2.7	0	0	2	0	0	0	3.7	2	2	0	0	0	0	2.7	2.7	2	0	0	0
