day	Anno	celltype	UMAP_1	UMAP_2	marker:Foxb1	marker:Pax6	marker:Crabp2	up:Hoxa1	up:Cenpa	up:Mis18bp1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.54	-1.87	1.8	0	4.9	3.7	3.2	2.4
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.99	3.21	1.8	1.8	4.4	3.1	3.1	2.4
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.07	2.57	3	2.3	4.9	3	3.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	4.46	0.68	0	0	4.6	4	3.7	2.3
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.07	-0.5	3.5	0	3.1	0	3.1	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.8	1.93	0	2.3	5	2.3	3.8	2.3
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.51	-3.37	0	0	4.2	3.8	3.1	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.13	1.89	2.5	0	3.4	3.4	3.7	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.21	-4.14	0	0	3	3.4	3.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.85	0.82	0	0	4.8	3.8	3.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	4.27	-2.94	0	0	2.1	3.1	4.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.39	-2.38	0	0	3.4	3.1	3.8	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.38	-3.21	0	0	3.6	3.8	2.5	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.27	-2.28	0	2.5	4.3	3.2	4.1	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.77	3.51	0	2	5.3	4.8	3.7	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.78	-1.98	2	0	3.7	3.2	3.5	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.56	2.13	1.9	2.5	4.5	2.8	3.1	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.28	1.91	2.9	0	4.5	3.6	4.2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.84	-2.9	1.9	0	3.4	0	0	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.71	-1.68	2.2	2.2	3.5	3.7	2.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.48	2.61	0	0	4.7	3.2	3.9	0
