day	Anno	celltype	UMAP_1	UMAP_2	Abcb4	Bcl11a	Etv6	Hba-x	Hbb-bs	Kel	Myb	Nr3c1	Runx1	Slc4a1	Snca	Tspan8
E9.5	E95_Primitive_erythroid	Primitive_erythroid	4.87	3.33	0	0	5.3	7.7	0	0	0	0	0	6	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.76	-1.82	0	0	4.5	4.9	0	3.8	0	0	0	4.5	5.6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.63	-2.67	0	0	0	6.3	0	0	0	0	0	5.6	6.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.67	-2.44	0	0	0	6.8	0	4.9	0	0	0	0	4.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.68	4	0	0	0	8.4	5.2	0	0	0	0	5.9	4.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.36	-1.01	0	0	0	7.1	0	0	0	0	0	5.8	5.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.19	-1.21	0	0	0	6.3	4.3	4.3	0	0	0	0	5.7	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.39	-3.15	0	0	5.2	6.6	0	5.2	0	0	0	5.2	6.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.72	-3.05	0	0	4.4	6.5	0	0	0	0	0	5.8	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	2.9	-2.77	0	0	5.5	7.1	0	5.5	0	0	0	5.5	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.24	-4.22	0	0	0	4.6	0	0	0	0	0	0	6.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.97	-1.35	0	0	0	6.1	5.2	5.4	0	0	0	5.2	3.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.13	-1.08	0	0	0	7.9	5	5	0	0	0	6.1	5.7	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.97	3.31	0	0	5.2	8.2	0	0	0	0	0	5.2	5.2	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	4.78	0.36	0	0	0	7.9	0	0	0	0	0	6.1	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	4.34	-1.55	0	0	0	7.1	0	0	0	0	0	5.5	6.2	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	2.87	3.1	0	0	0	7.9	0	4.6	0	0	0	6.5	6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.51	0.7	0	0	0	7.6	0	0	0	0	0	6	5.7	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.27	4.41	0	0	0	7.9	0	5.1	0	0	0	6.7	5.1	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.75	0.09	0	0	0	7.5	0	4.1	0	0	0	5.5	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.51	-1.13	0	0	3.9	7.2	0	3.9	0	0	0	6.3	5.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.02	-4.05	0	0	0	6.4	0	0	0	0	0	5.3	0	0
