day	Anno	celltype	UMAP_1	UMAP_2	Alx1	Arid3b	Foxc2	Gata5	Irx1	Irx5	Mef2c	Myl4	Myl7	Nkx2-5	Pax3	Tbx1	Tcf15	Tnnt2	Tsc22d1
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	1.66	-0.69	0	3.1	2.1	0	0	3.1	0	0	2.1	0	0	2.7	3.4	0	3.9
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.97	1.73	0	0	2	0	3.5	2.6	0	0	3.5	0	0	2	4.5	0	3.3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.25	-0.21	0	0	0	0	0	2.2	2.2	0	2.8	0	0	2.2	0	0	4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.37	-1.86	0	2.1	0	3.4	0	0	2.1	0	3.4	3.1	2.1	0	0	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.07	2.29	0	0	3.4	0	0	3	0	0	0	0	0	2.3	4.3	0	2.3
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.7	-0.57	0	0	3	0	3.3	3.7	0	2	2	0	0	2	4.5	0	2.6
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.15	2.14	0	2.1	0	0	0	2.1	2.7	0	4.4	2.1	0	0	2.1	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.3	-3.37	3	2.6	0	2	2	0	2	2.6	2.6	0	0	0	0	0	3
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.74	-0.08	0	3	0	2.4	2.4	3	4.1	2.4	3.7	2.4	0	0	0	2.4	3.9
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-6.03	-2.65	0	0	0	0	0	0	2.6	0	4	0	0	0	0	2.6	2.6
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	6.07	-2.46	0	0	2.5	0	0	0	0	0	0	0	0	0	4.4	0	2.5
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.83	-1.66	0	2.2	3.7	0	0	0	0	0	2.2	0	0	0	4	0	2.8
