day	Anno	celltype	UMAP_1	UMAP_2	marker:Amot	marker:Sfrp1	marker:Sfrp5	marker:Hhex	marker:Lefty1	up:Lhx1	up:Eomes
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.62	-1.02	4.9	4.3	4	3	4.3	2.9	2.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.13	-0.56	4.2	1.5	3.5	0	0.8	3.1	2.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.42	0.75	4.4	3.3	3.9	1.5	1.5	3.4	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.74	-1.14	3.2	0.9	3.3	1.7	0	0.8	1.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.35	-0.49	4.2	3.3	4.3	2.7	1.6	3.9	2.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.64	-1.54	4	0	0	1.9	0	0	1.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.85	-0.86	3.5	0	1.9	0	0	0.1	1.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.32	-2.73	4.2	2	3.3	1.9	0	2.4	2.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	5.02	-1.3	3.5	0	2.2	2.4	0	0.9	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.07	-1.36	3.2	0	2	0.8	0	1.2	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.22	-0.65	4	2.4	3.4	2.3	0	1.9	1.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.22	0.56	4.2	3.1	3.9	2.1	0.9	3.2	2.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.44	-0.3	4	0	3.1	0	0	0.8	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.63	-2.44	3.8	2.7	3	2	0	2.7	2.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.52	-2.1	3.6	0.3	3.3	0	0	0.2	1.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.3	-0.58	4.1	1	2.6	1.2	0	1	1.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.3	-0.09	4.4	0	0	0	0	1.9	2.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.03	0.42	4.5	2.8	3.8	3.1	4.5	3.8	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.52	-0.72	4.1	0	2.3	1	0	1.4	2.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.59	-2.41	4	2.2	3.6	1.1	0	3.3	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.5	-0.89	4.8	3.7	3.7	1.3	2.6	3.8	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.65	0.82	3.4	0	2.6	2.1	0	1.6	1.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.99	-1.22	4.1	0	2.6	0	0	2	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.72	-1.46	4.9	3.7	2.8	2.7	4	3.8	3.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.74	-0.56	2.9	0	0	1.3	0	0	0.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.31	-1.87	4.1	2.5	3	1.6	0	2.3	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.68	-1.51	5.1	3.8	3.9	2.6	3.3	4.2	3.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.73	-0.14	4.3	3.6	3.8	1.1	1.4	2.8	2.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.74	-1.5	3.1	0	1.8	0	0	1.6	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.03	-0.09	4.1	0	0	1.7	1.1	0.6	2.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.05	-2.25	4.7	3.3	2.7	1.2	0	2.6	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.88	-0.65	3.9	2	3.2	1.6	0.2	2.8	2.2
