day	Anno	celltype	UMAP_1	UMAP_2	marker:Runx1	marker:Hapln1	marker:Fli1	up:Hoxb2	up:Gata1	up:Gfi1b	up:Lyl1	up:Hoxb4	up:Runx1	up:Ascl2	up:Hoxb5	up:Emx2	up:Bcl11b	up:Hoxb6	down:Etv2	down:Pou5f1	down:Hes1	down:Msx1	down:E2f4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.25	-1.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2.7	3.3	2.7	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.23	-0.12	3.5	0	0	3.5	0	0	0	0	3.5	0	0	0	0	0	2.8	2.8	3.5	0	2.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.03	0.31	0	0	0	2.8	2.8	0	0	0	0	0	0	0	0	0	4.1	3.8	2.8	0	2.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.92	1.44	3.5	2.5	2.5	0	3.2	3.2	0	0	3.5	0	0	0	0	0	0	0	0	0	3.2
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	4.86	-2.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	3.2	3.5	0	3.2
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.73	1.5	2.5	2.5	3.1	2.5	0	0	0	0	2.5	0	0	0	0	0	0	0	3.1	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.57	1.49	3.1	0	0	3.5	0	0	3.1	0	3.1	0	0	0	0	0	3.1	2.5	0	0	2.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.95	-0.42	2.8	2.8	3.5	0	3.5	0	0	0	2.8	2.8	0	0	0	0	0	0	0	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	5.03	-1.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	2.9	0	4.3	3.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	4.49	-2.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2	2.4	3.1	3.7	2.4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	4.27	1.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9	0	0	0	3.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.22	2.59	0	3.4	0	2.8	4	3.4	0	0	0	0	3.1	0	0	0	0	2.1	0	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	3.86	-1.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	3.7	3.5	2	3.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-0.53	3.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	3	3.6	2.7	3.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	4.19	0.77	2	0	0	0	0	0	0	0	2	0	0	0	0	0	4.7	3.3	2.6	0	3.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.44	1.76	2.7	0	2.7	0	0	0	0	0	2.7	0	0	0	0	0	4	3.1	2.7	2.1	2.1
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.86	-2.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2	3.5	0	0	2.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	4.46	-0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9	3.7	3.2	3.2	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.42	0.45	1.8	0	1.8	0	0	0	0	0	1.8	0	0	0	0	0	3.7	3.4	0	3.2	2.4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.02	2.93	0	3.3	2.9	0	0	0	0	0	0	0	0	0	0	0	3.3	2.9	2.3	2.3	2.9
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	4.14	1.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	2.8	1.8	0	2.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.05	1.67	0	0	2.3	1.7	0	0	0	0	0	0	0	0	0	0	3.8	2.9	0	3.8	2.7
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.99	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	3.4	2.7	2.7	3.2
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.58	-1.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4.4	2.3	0	3.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.49	0.4	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	3.4	2.1	4.2	2.1	3.1
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.6	-0.72	0	0	2.4	2.4	0	0	0	0	0	0	0	0	0	0	4.6	0	3.8	0	3.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	5.25	-0.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	3	3	3.5	2.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	5.5	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	3.5	0	2	2.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	5.08	-2.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3.7	3.1	3.4	2.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	4.97	-1.59	1.5	0	0	0	0	0	0	0	1.5	0	0	0	0	0	4.4	3.1	2.7	2.1	2.7
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	4.29	-0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	3.2	3.5	3.7	3.7
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	3.63	1.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	3.6	0	0	3.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.78	1.74	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	5.1	4.2	2.4	1.8	3.1
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.56	0.7	0	1.9	0	0	1.9	0	0	0	0	0	0	0	1.9	0	4.1	1.9	0	0	2.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.98	-2.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4	3.5	1.8	0	3.9
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.83	2.28	1.8	0	0	2.4	0	0	0	0	1.8	0	0	0	0	0	2.4	3.5	2.8	3.7	3.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1	-1.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	3.3	3	0	3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.13	-2.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	3	0	2.2	4.2
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.98	3.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4.4	3.3	3.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.98	-1.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	2.1	3.4	0	3.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.62	2.09	1.9	0	0	0	0	0	0	0	1.9	0	0	0	0	0	3.4	0	1.9	3.2	1.9
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.97	-1.28	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	5.2	2.4	2.4	2.4	2.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	3.78	-1.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7	3.2	0	1.9	3.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	0.08	0.74	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	5.2	2.1	2.7	2.1	3.1
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.97	1.77	1.7	0	3.2	2.7	0	1.7	0	0	1.7	0	0	0	0	0	3.9	3.2	1.7	2.3	2.9
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.76	1.93	2.4	3.6	2.8	0	0	0	1.8	0	2.4	0	0	0	0	0	0	2.8	0	0	1.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.11	1.07	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4.7	3.4	2.6	2.6	3.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	0.77	-3.36	0	1.6	1.6	0	0	0	0	0	0	0	0	0	0	0	4.4	3.1	0	1.6	3.4
