day	Anno	celltype	UMAP_1	UMAP_2	marker:Rorb	marker:Trpm3	marker:Epha6	up:Tox	up:Casz1	up:Vsx2	up:Mecom	up:Pou2f2	up:Meis1	up:Dach1	up:Zbtb16	up:Myb	up:Plagl1	up:Zfpm2	up:Npas3	up:Rax	up:Baz2b	up:Zfhx4	up:Zfp532	up:Tbx3	up:Zeb2	down:Mitf	down:Sox5	down:Pax2	down:Sox6	down:Pbx3	down:Otx2	down:Prdm16	down:Meis2	down:Nr2f2
E10.5	E105_Retinal_primordium	Retinal_primordium	4.28	2.69	4	6.4	0	0	0	0	0	0	0	6.1	0	0	0	0	0	0	5.8	0	0	0	0	5.6	4.7	0	5.6	4.7	0	0	4.7	4
E10.5	E105_Retinal_primordium	Retinal_primordium	4.2	3.04	0	7.2	4.6	0	0	0	0	0	5.5	5.9	0	0	0	0	4.6	0	5.7	3.9	0	0	0	0	4.6	0	5.7	5.5	3.9	5	5.7	0
E10.5	E105_Retinal_primordium	Retinal_primordium	1.84	-3.73	0	0	0	5.7	0	0	0	0	5.7	3.9	0	0	0	0	4.6	0	0	3.9	3.9	0	4.6	0	5.3	3.9	0	3.9	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-2.75	-0.41	5.1	5.5	4.2	4.6	3.5	0	4.2	4.2	4.6	5.6	4.6	0	4.6	3.5	4.2	0	5.1	0	0	3.5	5.1	0	0	3.5	0	0	0	0	4.2	0
E10.5	E105_Retinal_primordium	Retinal_primordium	7.28	2.15	0	7.1	3.8	0	0	0	0	0	5.2	4.5	0	0	0	0	3.8	0	4.5	3.8	4.5	0	3.8	6.3	0	0	6.2	0	3.8	5.7	4.9	5.4
E10.5	E105_Retinal_primordium	Retinal_primordium	2.08	-4.7	0	4.1	0	0	4.1	0	5.5	0	0	0	0	0	0	0	0	0	5.5	0	0	0	5.7	0	6.9	5.5	4.1	4.1	0	4.8	4.8	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-1	-4.18	0	0	0	0	0	0	7	0	0	7	0	0	0	0	5.4	0	6	5.4	0	0	0	0	6.5	0	0	5.4	0	0	6.7	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-0.59	2.21	0	5.9	4.6	0	0	0	5.6	0	5.6	6	4.6	4	0	0	6	0	4.6	0	0	0	4.6	0	0	0	4	5.1	4	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-4.25	1.16	0	5.6	0	0	0	0	5.6	0	0	5.9	0	0	0	0	4.5	0	0	4.5	0	0	0	0	4.5	0	4.5	0	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	1.8	2.38	0	6	4.1	0	0	0	4.8	0	6.3	6.5	0	0	0	0	4.8	0	5.2	0	0	0	5.2	4.1	0	0	5.2	4.1	0	0	6.1	0
