day	Anno	celltype	UMAP_1	UMAP_2	marker:Sim1	marker:Pax2	marker:Mecom	up:Dach1	up:Prdm16	up:Grhl2	up:Hnf1b	up:Tfap2a	down:Tshz2	down:Zeb2	down:Zeb1	down:Meis1	down:Ebf1	down:Nr2f2	down:Osr1	down:Meis2	down:Pknox2	down:Hoxa3	down:Zfhx4	down:Hoxc4	down:Tshz1	down:Foxp2	down:Zfp516	down:Zbtb16	down:Foxn3	down:Bnc2	down:Pbx1	down:Hoxa5	down:9430076C15Rik	down:Wt1	down:Hoxc5	down:Rora	down:Hoxc6
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-4.37	1.21	0	5.1	4.5	3.8	0	0	0	0	4.7	4.2	4.2	2.5	0	2.5	0	4.5	0	2.5	2.5	3.5	0	3.1	2.5	0	4	0	4.6	0	0	0	2.5	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	2.56	-2.43	0	3	0	5.4	0	0	0	0	6	4.3	3.9	4.1	4.9	2.4	0	5.5	3.9	3.7	3.9	4.2	3.7	0	4.2	4.1	4.3	4.1	5.8	0	0	0	0	3.9	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	4.87	-1.22	0	0	3.7	4.1	0	0	0	0	4.9	4.6	3	5.9	3.7	4.1	0	5.5	4.1	4.1	4.1	4.9	3	0	0	4.1	3.7	0	6.1	0	0	0	0	3	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	1.59	2	0	0	2.7	4.4	0	0	0	0	5.5	2.7	3.3	5	5	4.2	0	5.5	2.7	0	0	0	0	2.7	0	0	2.7	0	5.4	2.7	0	2.7	0	4.2	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	4.93	3.55	0	3.5	2.5	5.1	0	0	0	0	4.6	3.2	2.5	5.2	2.5	4.2	2.5	5.3	3.2	0	4.6	0	2.5	3.2	2.5	4	2.5	0	5.7	3.2	0	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	4.83	3.31	2.5	0	4.2	5.9	0	0	0	0	3.5	4	3.5	5.1	4.5	2.5	2.5	5.9	3.8	3.1	4.2	2.5	2.5	4.2	2.5	3.1	0	0	6.3	0	0	0	0	3.1	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	3.69	2.51	0	0	2.8	4.4	0	0	0	0	4.8	3.5	4.2	5.3	0	0	3.5	5	2.8	2.8	3.5	0	4.7	2.8	3.5	0	3.9	4.2	4.8	0	0	0	0	3.9	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-3.96	3.59	4.8	5.3	5.5	3.9	0	0	0	3.2	0	2.2	4	4.2	0	3.2	0	4.8	4.2	0	0	0	3.2	3.2	2.2	3.7	3.5	0	4.7	0	0	0	0	0	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-4.28	0.44	2.5	5.5	5.5	3.5	0	0	0	0	5.4	3.1	3.1	3.8	3.5	0	0	4.8	2.5	0	0	2.5	0	0	4.2	4.3	2.5	0	4.7	2.5	0	0	0	4.2	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	3.19	2.67	2.7	3.8	0	3.4	0	0	0	0	4.6	4.9	3.8	4.8	4.1	3.8	2.7	5.6	3.8	4.8	0	3.4	0	0	4.1	0	2.7	0	5.6	3.8	0	2.7	0	0	2.7
