day	Anno	celltype	UMAP_1	UMAP_2	Bach2	Cpa2	Dach1	Dll1	Fgf10	Hes7	Hoxa1	Hoxb1	Lmx1b	Mecom	Meis2	Meox1	Msx1	Pax2	Pax8	Prrx1	Sim1	Tbx6	Tshz2	Wnt5a
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-2.41	2.44	0	0	0	0	0	0	0	0	0	0	6.7	0	0	6	5.3	0	0	0	6.7	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	0.34	-3.33	0	0	0	0	0	0	0	0	0	4.8	5.9	0	0	0	0	0	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	7.2	2.9	5	0	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.21	-7.26	4.7	0	5.1	0	4	0	0	0	5.1	4	5.6	0	0	0	0	4	0	0	6.4	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-2.92	-3.42	5.2	0	6.5	0	0	0	0	0	5.2	0	5.9	0	0	0	0	0	0	0	5.2	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.27	-4.03	5.9	0	5.2	0	5.9	0	0	0	0	6.3	5.9	0	0	0	0	5.2	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.36	-2.62	5	0	0	0	5	0	0	0	6.1	0	5	0	0	0	0	0	0	0	0	0
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-1.31	5.09	4.1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4.1	0	0	5.8	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-0.71	2.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-2.43	-0.26	0	0	5.4	0	0	0	0	0	0	0	6.8	0	0	0	0	0	0	0	6.1	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-1.8	-6.2	6.1	0	4	0	4	0	0	0	4.7	6.9	5.6	0	0	0	0	5.4	0	0	5.4	0
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-2.7	2.89	0	0	4.6	0	0	0	0	0	0	0	0	0	0	0	4.6	0	0	0	6.4	0
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-2	1.43	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-1.6	-3.8	4.6	0	6.2	0	0	0	0	0	5.3	5.3	4.6	0	0	0	0	5.7	0	0	4.6	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-2.6	-4.45	5	0	5	0	5	0	0	0	5	6.1	5	0	0	0	0	0	0	0	5	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	3.38	4.87	0	0	0	4.6	0	0	0	0	0	0	4.6	0	0	0	0	0	0	0	4.6	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-1.64	-3.26	0	0	6.2	0	0	0	0	0	0	0	5.1	0	0	0	0	5.1	0	0	5.1	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	1.06	3.47	5.8	0	0	0	0	0	0	0	0	0	6.5	0	0	0	5.1	0	5.1	0	5.1	5.1
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.06	0.12	0	0	0	0	0	0	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.61	-3.01	5.2	0	0	0	0	0	0	0	0	5.2	5.2	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.83	-3.1	0	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	5.9	0	0	6.4	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	5.18	4.58	0	0	5.2	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	1.92	2.29	0	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	0	5.4	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-1.83	-3.77	5	0	0	0	0	0	0	0	0	6.1	6.6	0	0	0	0	0	0	0	6.6	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	3.18	0.76	0	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	4.68	0.48	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	2.24	2.01	5.5	0	6.2	0	0	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-0.27	4.78	0	0	4.4	0	0	0	0	0	0	0	5.5	0	0	0	0	4.4	0	0	4.4	4.4
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-1.83	4.12	3.6	0	4.7	0	0	0	0	0	0	0	5.9	0	0	0	0	3.6	0	0	4.3	3.6
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	4.51	4.62	0	0	5.7	0	0	0	0	0	0	0	6.1	0	0	0	0	0	0	0	5.7	5
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	3.29	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.56	-7.67	4.5	0	3.8	0	4.5	0	0	0	4.9	5.9	0	0	3.8	0	0	0	0	0	5.2	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-0.42	-2.63	5.7	0	6.8	0	0	0	0	0	0	0	6.1	0	5	0	0	0	0	0	5	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	2.43	3.07	0	0	6.3	0	0	0	0	0	0	0	6.6	0	0	0	0	0	0	5.2	5.2	0
