day	Anno	celltype	UMAP_1	UMAP_2	Atf3	Cdh5	Cebpd	Elk3	Kdr	Klf7	Pecam1	Xbp1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.75	1.18	0	0	0	0	2.2	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.62	0.79	2.5	0	0	0	0	2.5	0	2.5
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.2	-1.35	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.21	0.06	0	2	0	0	2.6	2	0	2.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	0.18	3.83	0	0	0	0	0	0	0	3.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.96	3.38	0	0	0	0	0	0	0	2.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.47	-2.37	2.3	0	0	0	2.3	0	0	3.4
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.13	-2.19	0	0	0	0	3.1	0	0	2.7
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.74	3.21	0	0	0	2	3.3	2	0	3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.84	1.66	0	0	1.9	1.9	3.3	1.9	0	2.5
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.5	2.96	0	0	0	2	2	0	0	2.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.21	-0.93	0	0	0	0	3.1	0	0	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.23	-0.63	0	0	0	0	0	2.2	2.2	2.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.83	-0.5	0	0	0	0	2.5	1.8	0	1.8
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.71	2.19	1.8	0	0	0	2.8	0	1.8	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.17	2.39	0	1.9	0	0	2.6	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.14	-0.89	0	0	0	0	0	0	0	2.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.94	3.42	2.2	0	0	0	2.8	0	0	3.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.68	-2.38	0	2.1	0	0	0	2.7	0	2.7
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.66	1.93	0	0	0	0	2.7	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.03	-2.13	0	0	0	3.6	2.9	2.9	2.9	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.31	1.28	2.4	0	2.4	0	2.4	2.4	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.68	3.01	2.7	2.1	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.64	3.06	0	0	0	0	2.7	0	0	2.3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.31	-3.38	0	2.1	0	0	2.1	2.1	0	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.13	3.24	2.1	0	0	0	2.8	0	0	3.4
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.58	0.87	0	0	0	0	3.3	1.8	1.8	2.5
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.02	2.75	0	0	2.1	0	0	2.1	0	3.4
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	0.03	4.61	0	0	2.3	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.58	-0.61	0	0	0	0	2.7	0	0	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.46	-1.23	0	2	0	0	2	2	0	2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.55	-0.13	0	0	0	0	3	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.18	-1.54	0	0	0	2.2	2.2	0	0	2.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	5.06	-2.12	1.8	0	0	1.8	1.8	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.15	4.16	0	0	0	0	0	0	0	2.8
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.49	3.07	0	0	0	2.1	0	0	0	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.1	4.57	0	0	1.7	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.06	0.08	0	0	0	0	2.3	0	0	2.3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.34	3.18	0	0	0	0	0	2.1	0	2.7
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.73	-1.98	0	0	0	0	3.3	0	2.3	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.58	-2.6	0	0	0	0	3.2	0	0	3.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-6.29	1.8	0	0	0	2.3	0	2.3	0	3.3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.55	0.86	0	0	0	2.1	0	0	0	0
