day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hoxc8	up:Hoxb9	up:Hoxa7	up:Hoxc6	up:Msx1	up:Hoxa9	up:Hoxc4	up:Sox4	up:Etv4	up:Hoxc9	up:Evx1	up:Hoxb6	up:Hoxb8	up:Hes7	up:Zfp503	up:Hoxa3	up:Tbx6	down:Hoxa1	down:Zic3	down:Meis2	down:Jund	down:Pbx2	down:Tshz1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.83	1.75	3.4	0	3	0	2.4	2.4	0	3	0	0	2.4	3	0	0	2.4	4.6	2.4	0	0	0	3.7	0	2.4	0	2.4	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.59	0.02	4.8	4.2	2.4	2.4	2.4	0	0	4.1	0	0	3.4	3	0	2.4	3.4	2.4	3	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.12	-0.67	4.3	0	2.7	3.9	2.1	0	0	3.1	0	0	4.4	3.7	0	2.7	2.1	3.7	3.3	0	0	0	2.1	0	0	3.1	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.12	-3.92	3.4	0	3	0	0	0	0	3	0	0	0	2.3	0	0	2.3	3.6	2.3	0	0	0	4.7	0	2.3	3	0	2.3
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.15	-3.33	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	2.3	0	3.6	0	3.3	3.6	2.3	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.2	-2.88	3	0	2.4	0	0	0	0	0	0	0	2.4	3	0	0	0	2.4	0	2.4	0	0	4.1	0	0	0	0	2.4
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.94	-1.79	4.3	2.9	0	2.3	4	2.3	0	0	0	0	3.3	2.9	0	0	0	3.6	0	2.3	2.9	0	2.9	2.3	2.3	0	2.3	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.48	0.64	4.1	2.1	3.1	2.1	2.1	0	2.1	2.7	0	2.7	3.1	3.1	2.1	2.1	0	2.7	2.1	0	2.7	2.1	0	0	0	3.1	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.23	0.15	3.2	3.2	4.3	0	0	0	0	0	0	0	0	3.9	0	0	2.6	3.2	0	0	2.6	0	4.3	0	0	2.6	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.11	1.87	3	3.3	3.3	2	3	0	0	2.6	0	0	2.6	4.1	0	2.6	0	3.8	2	2	0	0	3.7	0	2	0	2	2
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.93	-0.02	4.4	2.9	1.9	3.4	2.5	1.9	0	4.4	1.9	2.5	3.8	2.9	0	2.9	2.5	4.1	3.4	1.9	1.9	0	1.9	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.65	-0.88	3.9	3	2.3	4.2	3	3	2.3	2.3	0	2.3	3.9	2.3	0	2.3	0	3.9	3.4	0	0	0	2.3	0	2.3	3	0	0
