day	Anno	celltype	UMAP_1	UMAP_2	Casz1	Epha6	Mecom	Mitf	Oca2	Pou2f2	Rora	Rorb	Sox6	Trpm1	Trpm3	Tyr	Vsx2	Zfp385b	Zmat4
E10.5	E105_Retina_primordium	Retina_primordium	6.44	-0.88	0	0	0	5.1	5.1	0	5.8	0	6.2	0	5.1	0	0	6.2	0
E10.5	E105_Retina_primordium	Retina_primordium	5.72	-1.25	0	0	0	5.9	4.8	0	4.8	0	4.8	4.8	6.2	5.5	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	4.75	-1.82	0	0	0	5.2	0	0	5.8	0	6.3	0	7.8	5.2	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	4.39	-0.07	0	0	0	5.4	5.4	0	4.3	0	5	0	6.6	4.3	0	0	4.3
E10.5	E105_Retina_primordium	Retina_primordium	4.94	-0.91	0	0	0	5.7	0	0	5.3	0	4.6	6	7.1	6.7	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.28	0.65	0	4.9	0	6.3	5.6	0	6.3	0	4.9	5.6	6.7	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	0.9	-0.19	0	0	5.9	0	0	0	0	5.2	0	5.9	5.2	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.06	1.35	0	3.9	0	5.3	5.5	0	5	0	5.3	4.6	6.8	5.5	0	0	4.6
E10.5	E105_Retina_primordium	Retina_primordium	-1.72	4.91	0	5.1	5.1	0	0	0	5.1	0	5.1	0	6.5	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.49	-0.44	0	0	0	5.1	0	0	0	0	0	5.1	5.8	5.1	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.92	-0.8	0	0	0	0	0	0	5	5.7	5	5	5.7	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.61	1.24	0	0	0	0	5.5	0	4.8	0	0	0	6.7	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	0.84	-4.1	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.46	-0.02	0	6.1	0	5.4	6.8	0	6.5	5.4	5.4	0	6.8	6.1	0	5.4	0
E10.5	E105_Retina_primordium	Retina_primordium	7.16	-0.45	0	0	0	5.1	5.1	0	5.6	0	5.1	4	6.5	5.6	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	4.49	1.94	0	0	0	5.6	4.2	0	4.2	0	5.8	4.2	6.6	4.2	0	0	4.2
