day	Anno	celltype	UMAP_1	UMAP_2	marker:Tbx4	marker:Hoxa11	up:Pitx1	up:Hoxc9	up:Hoxa10	up:Hoxa9	up:Hoxa7	up:Hoxc8	up:Prrx2	up:Smad7	up:Twist1	up:Snai1	up:Twist2	up:Gata5	up:Bbx	up:Hoxc10	up:Smarca1	up:Zfx	up:Hey2	up:Hoxc11	up:Jun	up:Gata4	up:Tcf21	up:Smad6	up:Klf14	up:Tbx2	down:Mesp1	down:Pou5f1	down:T	down:Hoxb1	down:Foxf1	down:Mixl1	down:Evx1	down:Sub1	down:Cdx2	down:Cdx4	down:Irf1	down:Msx2	down:Foxo4	down:Cdx1
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-1.14	0.4	0	2	3.5	3	2.6	2	2	2	0	3	2	2	0	0	2.6	0	2	2	0	0	0	2.6	0	2	0	0	0	2.6	2	0	3	0	2	4.3	3.3	0	2	3.8	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.61	-0.29	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	4.2	3.9	2.2	3.5	0	2.2	0	4.8	3.2	3.7	0	2.2	0	2.8
E7.75	E775_Allantois	Allantois	-3.5	3.69	2.3	0	4	2.3	2.9	0	0	2.9	0	3.3	0	0	0	0	2.3	0	0	0	2.3	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	4.8	2.9	0	0	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.78	1.72	0	0	0	0	0	0	0	0	2.9	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	2.9	2.9	2.9	2.9	0	0	5.5	2.9	4.9	0	0	0	2.9
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.98	-2.68	0	2.6	0	0	0	0	2	2	2	2.6	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	4.9	3.3	2	0	3.6	0	0	4.8	3	2.6	2	3.6	0	3.3
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-1.75	-1.18	2.1	2.4	2.7	1.5	3.1	2.4	2.4	0	2.1	2.1	1.5	3.1	2.1	0	2.1	0	1.5	0	0	0	0	0	0	0	0	1.5	0	0	1.5	0	2.4	0	0	4.6	2.7	3.2	0	3.7	0	1.5
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.65	1.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0	2.1	0	0	0	0	0	3.4	3.1	0	0	2.7	0	2.7	4.1	3.1	3.8	0	0	0	2.7
E7.75	E775_Allantois	Allantois	-2.11	1.67	2.8	3.5	0	2.8	2.2	0	3.2	2.8	2.2	2.8	0	2.2	0	2.2	2.2	0	0	0	0	0	2.2	0	0	2.8	0	0	0	0	0	0	0	0	0	4.6	2.8	0	0	2.8	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.11	2.6	0	0	0	0	0	0	2.4	0	2.4	0	0	0	0	0	2.8	0	0	2.4	0	0	1.8	0	2.4	0	0	0	2.4	2.4	0	2.8	0	0	0	5.1	1.8	3.9	0	1.8	0	3.5
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.35	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	0	2.3	3.8	0	0	4.4	3.6	2.9	0	0	0	3.3
E7.75	E775_Allantois	Allantois	-3.61	0.12	0	2.2	4	2.6	0	2.6	1.6	0	3	3.5	2.2	2.6	0	0	2.6	2.2	2.8	0	0	1.6	0	2.8	1.6	2.8	1.6	2.2	0	0	0	0	1.6	0	0	4.4	2.8	0	0	2.8	0	0
E7.75	E775_Allantois	Allantois	-5.19	1.16	0	0	2.6	0	3.9	3.3	3.3	0	3.3	0	0	3.3	0	0	0	0	0	2.6	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	4.6	3.3	0	0	3.3	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.24	-1.01	3	0	0	0	3	2	2.7	2	2	3.7	0	3.5	0	2	0	0	3	0	0	0	3.3	2.7	0	2	0	2	0	2	0	0	3.5	0	2	4.7	2	3.7	0	3.5	2	2
E7.75	E775_Allantois	Allantois	-1.22	1.65	2	2.6	4.1	2.6	2.6	3.2	3.4	0	2.6	3.6	2	2.6	2	0	2.6	0	0	2.6	0	0	3.2	2.6	2	0	0	0	0	2	0	0	2	0	2	4.1	3.2	2	0	2.6	0	0
E7.75	E775_Allantois	Allantois	-3.85	1.36	0	0	2.6	1.4	2.3	1.4	2.3	1.4	1.4	2.3	0	2.8	1.4	2	0	1.4	0	1.4	0	0	0	2	0	1.4	0	0	0	2.6	2	1.4	1.4	0	1.4	4.4	2.3	1.4	0	2.6	1.4	3.6
E7.75	E775_Allantois	Allantois	-2.83	2.28	2.1	0	2.7	2.1	2.7	2.7	2.7	2.1	3.1	2.1	2.1	2.1	2.1	0	3.4	2.1	0	2.7	0	0	2.1	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	2.1	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.16	-2.03	0	0	0	0	0	0	0	0	0	2.6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2.6	3	3.3	3.7	0	2.6	4.8	3.5	3.3	0	3.3	0	0
E7.75	E775_Allantois	Allantois	-6.56	-0.71	0	2.2	4.3	0	0	0	2.2	0	4	2.8	0	2.8	3.2	2.2	3.2	0	0	2.2	0	0	2.2	0	0	2.2	0	0	0	0	0	0	2.2	0	0	4.9	2.2	0	0	0	0	3.2
E7.75	E775_Allantois	Allantois	-1.62	2.08	0	0	2.6	0	0	2.6	2.6	2.6	3.2	2.6	0	0	0	0	2.6	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3	2.6	0	0	0	0	0
