day	Anno	celltype	UMAP_1	UMAP_2	marker:Fstl5	marker:Dscaml1	marker:Lhx2	up:Myt1l	up:Uncx	up:Ebf2	up:Aff3	up:Emx2	up:Nfib	up:Tshz1	up:Ncoa1	up:Fezf1	up:Klf12	up:Pbx1	up:Ebf3	up:Tshz3	up:Zfp608	up:Lcorl	up:Mxi1	up:Foxo6	up:St18	up:Mbd2	up:Foxp1	up:Arid5b	down:Zeb2	down:Setbp1	down:Isl1	down:Pou4f1	down:Zeb1	down:Meis2	down:Tcf4	down:Rora	down:Onecut1	down:Foxn3	down:Neurod1	down:Nr2f2
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	4.08	1.83	0	0	0	0	0	0	5.6	0	0	0	0	0	4.2	5.3	0	0	0	0	0	0	0	4.9	0	0	5.3	7.4	4.9	4.2	4.2	4.2	5.3	4.9	4.9	5.3	0	4.9
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-1.28	4.86	0	5.6	0	0	0	5.6	0	0	0	0	0	0	0	5.1	5.9	0	0	4.7	0	0	0	0	6.2	0	6.8	7	5.4	0	5.1	6.1	0	4	0	5.4	5.1	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	4.97	1.65	0	0	0	0	0	6	0	0	0	0	0	0	0	5.3	0	0	5	5.3	0	0	0	0	5.5	0	5	6.7	4.6	3.9	0	0	5.7	4.6	0	0	3.9	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.91	6.49	0	3.9	0	0	0	0	4.6	0	0	0	0	0	0	5.3	0	0	0	4.6	0	0	5	0	4.6	0	6	6.3	3.9	0	5.5	5.7	3.9	0	0	0	3.9	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	3.71	1.78	0	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1	0	0	0	0	5.5	5.5	0	0	0	6.1
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	0	-0.43	0	0	0	0	0	4.6	0	0	0	0	0	0	4.6	0	5.3	0	0	5.3	0	0	0	4.6	5.3	0	0	5.7	0	0	6.2	6.2	4.6	0	0	0	4.6	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-4.07	3.84	0	0	0	0	0	0	4.6	0	0	5.9	0	0	4.6	0	0	0	0	4.6	0	0	0	0	0	0	0	6.9	0	0	0	7.4	5.6	0	0	5.2	0	5.9
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	0.61	-3.39	0	0	0	0	0	4.2	0	0	0	4.2	0	0	0	4.9	4.2	0	0	4.2	0	0	4.2	0	0	0	4.2	6.5	0	0	0	5.3	6	4.2	0	5.6	4.9	5.3
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-6.9	6.46	0	3.6	0	0	0	0	5	0	0	0	0	0	0	5.7	5	3.6	3.6	0	0	0	5	0	4.3	0	3.6	6.4	4.7	0	3.6	6	0	0	0	5.2	3.6	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	0.12	5.3	0	4.3	0	0	0	0	6.1	0	0	0	4.3	0	0	6.6	0	0	5.7	0	0	0	4.3	0	5	0	5.9	5.9	0	0	4.3	6.6	5	5	0	5	5	0
