day	Anno	celltype	UMAP_1	UMAP_2	Fli1	Gata1	Gfi1b	Hapln1	Hoxb2	Hoxb4	Lyl1	Runx1
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.49	0.4	2.1	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.6	-0.72	2.4	0	0	0	2.4	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.25	-0.63	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.5	0.18	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.08	-2.34	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.97	-1.59	0	0	0	0	0	0	0	1.5
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.29	-0.56	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.63	1.26	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.78	1.74	0	0	0	1.8	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.56	0.7	0	1.9	0	1.9	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.98	-2.25	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.83	2.28	0	0	0	0	2.4	0	0	1.8
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1	-1.03	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.13	-2.87	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.98	3.05	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.98	-1.57	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.62	2.09	0	0	0	0	0	0	0	1.9
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.97	-1.28	1.8	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.78	-1.43	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.08	0.74	0	0	0	2.1	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.97	1.77	3.2	0	1.7	0	2.7	0	0	1.7
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-4.76	1.93	2.8	0	0	3.6	0	0	1.8	2.4
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.11	1.07	2	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.77	-3.36	1.6	0	0	1.6	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-5.48	0.31	2.6	0	0	1.7	3.4	0	0	2.6
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.33	-2.94	1.4	0	0	0	0	0	1.4	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.74	0.39	0	0	0	0	2.2	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.45	-0.65	0	0	0	0	0	0	0	1.9
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.03	0.18	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.53	1.06	1.8	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.33	3.03	2.4	0	0	2.4	0	0	0	2
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.47	-1.19	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.16	-2.31	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.69	2.63	2.6	0	0	0	0	0	0	2
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.48	0.81	3.3	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.84	2.46	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.99	0.75	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.66	-0.36	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.82	-0.79	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.02	2.05	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.12	1.21	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.37	-2.27	1.5	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.24	-0.11	1.8	0	0	3.1	0	0	0	1.8
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.14	-0.3	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.06	0.18	2.2	0	0	0	2.2	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.82	-0.61	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.46	-1.86	0	0	0	2	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.64	1.82	2.2	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.35	0.04	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.85	-0.29	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	0.62	-2.62	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.61	1.24	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.28	-1.48	2.2	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.87	2.16	0	0	0	0	1.5	0	0	0
