day	Anno	celltype	UMAP_1	UMAP_2	down:Trp63	down:Sox6	down:Nr2f2	down:Sox5	down:Foxp2	down:Lef1	down:Bnc2	down:Bach2	down:Mbnl2	down:Nr3c1	down:Dach2	down:Rarb	down:Meis2	down:Foxp4	down:Foxp1
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-0.96	4.08	0	3.8	3.8	4.8	0	4.4	3.8	0	0	0	3.8	0	7.1	0	4.8
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	0.16	0.65	6	5.3	0	0	0	5.3	0	5.3	5.3	0	0	0	5.3	0	5.3
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-1.92	2.67	0	0	0	0	0	0	0	4.9	0	0	5.6	0	4.9	0	4.9
E9.5	E95_Epidermis	Epidermis	4.01	1.63	5.9	4.8	4.8	0	0	0	6.2	0	0	0	0	0	6.8	0	6.2
E9.5	E95_Epidermis	Epidermis	1.62	2.64	5.9	0	0	0	0	5.9	0	0	0	0	0	0	6.3	0	5.2
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-2.97	5.27	0	4.6	0	4	0	0	0	0	0	0	0	0	5	0	4.6
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-1.75	5.78	4.3	0	0	4.3	0	0	0	0	4.3	0	4.3	0	5	0	4.3
E9.5	E95_Epidermis	Epidermis	2.79	3.53	0	5.3	0	0	0	0	0	0	5.3	0	0	0	6.4	0	0
E9.5	E95_Otic_epithelium	Otic_epithelium	-1	-5.24	0	0	0	0	0	0	0	0	0	0	6.1	0	5.4	0	0
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	3.46	-2.76	0	4.5	5.2	0	4.5	4.5	0	5.2	4.5	4.5	4.5	0	6.1	4.5	5.2
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-4.04	3.06	0	4.6	0	0	0	0	0	0	4.6	0	0	0	6.7	0	4.6
E9.5	E95_Otic_epithelium	Otic_epithelium	2.18	-7.35	0	4.8	0	4.8	4.8	4.1	0	0	4.1	0	5.5	0	0	4.1	0
E9.5	E95_Epidermis	Epidermis	5.04	2.28	5.4	5.4	0	0	0	0	4.7	0	5.8	0	0	0	0	0	0
E9.5	E95_Epidermis	Epidermis	1.65	2.39	0	0	4.8	0	0	0	0	0	0	0	0	0	5.5	4.8	4.8
