day	Anno	celltype	UMAP_1	UMAP_2	marker:Tdo2	marker:Hsd11b2	marker:Pmp22	marker:Hand1	up:Foxp1	up:Hoxb2	up:Creb3l1	up:Mef2c	up:Gata5	up:Hlx	up:Nr2f2	up:Nkx2-3	down:Pitx1	down:Cdx2	down:Msx1	down:Hoxb6	down:Msx2	down:Hoxd1	down:Hoxd9	down:Lef1	down:Hoxb8	down:Sp5	down:Hoxa1	down:Tcf7	down:Cdx1	down:Hoxa10	down:Nkx1-2	down:Evx1	down:Alx3	down:Hoxb9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.19	-2.52	0	0	5	3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	3.1	0	0	2.5	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.7	-5.28	0	2.5	4.6	3.5	0	3.5	0	0	0	0	0	0	0	0	3.1	0	3.5	2.5	0	2.5	0	0	2.5	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.63	-6.51	0	0	3.7	4.1	0	0	2.4	0	3.4	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	2.4	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.95	3.73	0	0	4.8	4.7	0	1.7	0	0	0	0	0	0	4.1	2.3	4.2	2.9	2.9	1.7	2.6	2.6	2.9	0	1.7	2.3	0	2.3	0	0	2.6	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.57	-1.18	3.3	0	4.7	4.2	1.8	1.8	0	0	1.8	1.8	0	0	0	0	1.8	0	0	0	0	0	1.8	0	1.8	1.8	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.6	3.22	0	0	5.4	4.3	0	0	0	0	2.7	0	0	0	0	2.7	4.1	0	2.7	3.8	0	0	2.7	2.7	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.19	2.07	0	0	4.2	4.2	2.5	3.8	0	0	0	2.5	0	2.5	3.1	4	3.5	2.5	0	2.5	0	4	0	0	0	2.5	0	0	3.1	0	0	3.1
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.76	-4.7	0	0	4.8	4.5	1.9	2.9	0	1.9	0	0	0	0	0	1.9	2.9	0	1.9	2.9	0	0	0	0	0	0	1.9	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	6.07	2.57	0	0	5.6	4.7	0	3.3	3.8	0	0	0	0	0	0	2.3	3.6	2.9	0	2.3	0	0	2.3	0	2.9	0	0	0	0	0	2.3	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.61	-1.27	0	1.8	4.7	4.5	0	2.8	0	1.8	0	0	1.8	0	1.8	1.8	3.4	0	2.4	0	1.8	1.8	2.8	1.8	2.8	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.24	-1.05	0	0	4.7	4.1	0	0	2	0	2	0	0	0	0	3.7	3.3	2.7	2	0	0	2.7	2	0	0	2.7	0	0	0	0	2.7	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.15	7.4	0	0	5.2	3.3	1.8	3.1	3.1	0	0	0	0	0	4.2	0	4.2	1.8	1.8	2.4	0	1.8	1.8	1.8	0	1.8	0	0	1.8	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.6	4.69	0	0	3.9	4.4	0	2.2	2.2	0	0	0	0	0	3.9	2.2	5	4.3	3.5	0	3.3	2.9	2.2	0	0	2.9	0	3.9	2.9	0	2.2	0
