day	Anno	celltype	UMAP_1	UMAP_2	Gata6	Hand1	Lefty2	Lhx1	Mesp1	Mesp2	Sp5
E6.5	E65_Primitive_Streak	Primitive_Streak	2.07	-3.67	0	0	1.7	0	0	0	1.7
E6.5	E65_Primitive_Streak	Primitive_Streak	0.36	2.86	0	1.3	1.3	0	0	0	2.5
E6.5	E65_Primitive_Streak	Primitive_Streak	3.87	2.97	0	0	1.3	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	0.16	-1.34	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	1.89	-2.71	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.82	3.21	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.35	-1.38	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-5.05	0.08	0	0	0	2.2	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.29	3.39	0	0	0	0	0	0	1.8
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.63	-0.59	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-2.52	-2.33	0	0	0	0	2.1	2.1	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.82	-1.71	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	4.65	2.65	0	0	1.8	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.03	3.21	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	1.9	1.86	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.72	2.05	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	1.17	-3.54	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	1.83	-2.86	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.78	-1.13	0	0	1.7	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.5	-2.8	0	0	0	0	2.1	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.2	-2.97	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	1.2	-1.64	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.38	0.53	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.48	0.62	0	0	0	0	0	1.6	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.28	-1.89	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.08	-1.84	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.65	-0.78	0	0	1.7	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.1	0.27	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	0.93	-3.34	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	0.38	2.77	0	0	1.7	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.61	-0.72	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.57	-2.16	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.96	-0.37	2.5	0	0	2.5	2.5	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.65	-1.34	0	0	1.8	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.31	2.69	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-2.82	-1.71	0	0	2	0	0	0	2
E6.5	E65_Primitive_Streak	Primitive_Streak	1.69	2.79	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.11	-2.99	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	3.97	-0.3	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.68	-3.03	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-2.81	-0.82	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.89	2.3	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-3.58	-1.56	0	0	1.8	0	0	0	2.4
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.71	-1.25	0	0	0	0	0	0	0
