day	Anno	celltype	UMAP_1	UMAP_2	marker:Osr1	marker:Lhx1	marker:Pax2	marker:Pax8	up:Hmga2	up:Foxp1	up:Meis1	up:Foxc2	up:Tcf7l1	up:Twist1	up:Alx1	up:Irx1	up:Pbx1	down:T	down:Mixl1	down:Evx1	down:Nkx1-2
E7.75	E775_Somatic_mesoderm	Somatic_mesoderm	3.28	0.73	0	1.7	0	0	3.8	0	0	1.7	1.7	1.7	0	0	1.7	0	0	1.7	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	0.5	1.13	0	0	0	0	2.9	2.8	1.4	1.9	1.4	0	0	1.4	2.8	2.6	0	0	1.4
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-6.29	-3.38	0	0	0	0	2.1	0	0	0	0	0	0	0	0	2.7	0	0	2.1
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-7.5	-3.11	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	3.3
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.18	-5.9	0	0	0	0	2.7	2	0	0	0	2	0	0	2	0	0	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	1.37	1.98	0	0	0	0	3.5	2	2.6	3.5	0	2	0	0	2	2.6	0	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-1.57	-0.28	0	0	0	0	2	2	2	0	2	0	0	0	2	2	0	2	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-5.42	-3.13	0	0	0	0	3.4	0	0	0	0	0	0	0	1.9	2.5	2.5	0	2.5
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.15	1.53	0	0	0	0	2.5	0	0	0	0	0	0	0	0	2.5	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	2.2	-1.99	2.4	0	0	0	3.4	0	0	0	0	0	0	0	0	2.8	0	0	2.4
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	2.72	-2.35	3	0	0	0	3.5	0	2	0	0	0	0	0	0	0	0	2	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	0.39	-1.53	0	0	0	0	2.7	2.1	0	0	0	0	0	0	2.1	0	0	2.7	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-1.18	-6.09	0	0	0	0	3.1	2.1	0	0	0	2.1	0	0	2.1	3.1	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4.02	-5.95	2.3	2.3	0	0	4	0	0	0	0	0	0	0	0	2.3	0	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	0.36	1.06	0	0	0	0	3.7	2.2	0	0	2.2	0	0	0	2.8	0	0	0	0
