day	Anno	celltype	UMAP_1	UMAP_2	down:Pou5f1	down:Gbx2	down:Hoxb1	down:Hoxa1	down:Tal2	down:Dlx5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.6	1.75	3.8	0	2.1	4.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.7	0.07	3.1	1.8	1.8	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.74	-0.13	4	2.3	0	3.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.56	3.76	3.9	0	1.9	4.3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.68	2.62	3.3	2	2	3.1	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.89	-3.19	4.2	2	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.33	-1.79	3.4	2.5	2.9	3.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.62	2.04	3.1	0	0	3.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.16	-0.78	4.1	2.5	1.9	4.1	1.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.49	-0.91	3.8	2.1	0	2.7	0	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.84	-1.21	3.6	2.4	2.4	4.1	0	1.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.9	0.41	3.6	0	3.2	3.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.14	-1.41	4	3.1	2.4	2.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.58	-3.51	4.1	2.7	2.7	2.7	2.7	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.62	-0.08	4.2	2.7	0	3.3	3.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.59	0.99	3.7	2.9	2.2	3.7	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.01	-2.08	4.5	3.1	2.1	3.9	2.1	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.98	0.08	3.2	2.9	1.9	4.1	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.94	2.59	3.4	2.1	2.1	4.5	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.07	2.54	3.4	0	0	4.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.52	-2.01	4	2.6	3.1	3.7	2.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.23	2.45	3.4	0	2.1	4.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.83	2.17	2.7	0	2.1	4.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.54	2.08	2	2	2.6	4	0	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.44	-1.98	4	2.7	1.5	4	1.5	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.05	-0.89	2.9	2.3	2.3	2.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.49	-0.95	3.6	2.8	3.1	4.3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.73	0.79	3.7	0	0	3.7	0	0
