node_id	best_path	gene_use
E8_Haematoendothelial_prog	E8_Haematoendothelial_prog,E775_Haematoendothelial_prog,E75_Haematoendothelial_prog,E725_Haematoendothelial_prog,E7_Haematoendothelial_prog,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Tdgf1,Socs2,Tmem238,Eomes,Slpi,Gja4,Eva1b,Dlk1,Ecscr,Hoxb6,Hhex,Etv2
E825_Paraxial_mesoderm_C	E825_Paraxial_mesoderm_C,E8_Paraxial_mesoderm_C,E775_Paraxial_mesoderm_C,E75_Nascent_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Tdgf1,Eomes,Bcl11a,Socs2,Sgk1,Etv4,Hoxa3,Skap2,Notum,Cdx4,Cdx1,Cdx2,Hes7
E7_Haematoendothelial_prog	E7_Haematoendothelial_prog,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Dppa5a,Mkrn1,Tmem54,Rbpms2,Chchd10,Rspo3,Serpinh1,Junb,Aplnr,Fam212a,Hhex,Etv2
E135_Primitive_erythroid	E135_Primitive_erythroid,E125_Primitive_erythroid,E115_Primitive_erythroid,E105_Primitive_erythroid,E95_Primitive_erythroid,E85_Primitive_erythroid,E825_Primitive_erythroid,E8_Primitive_erythroid,E775_Primitive_erythroid,E75_Blood_prog,E725_Blood_prog,E7_Haematoendothelial_prog,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Eif1a,Rrp15,Wdr89,Srm,Morf4l2,Nfia,Sox6,Afp,Igfbp5,Rbms3,Hba-a1,HBB-y,Hba-x,Hbb-bh1
E7_PGC	E7_PGC,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	H2afy2,T,Peg3,Rspo3,Dppa3,Dnd1,Ifitm3
E115_Ependymal_cell	E115_Ependymal_cell,E105_Ependymal_cell,E95_Ependymal_cell,E85_Neural_crest,E825_Neural_crest,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Utf1,Cldn7,Trh,Cldn6,Tdgf1,Hbb-y,Vat1l,Slc4a10,Parva,Htr2c,Gmnc,Sostdc1,Kcne2,Ttr
E125_Radial_glia	E125_Radial_glia,E115_Radial_glia,E105_Radial_glia,E95_Radial_glia,E85_Spinal_cord,E825_Spinal_cord,E8_Caudal_neurectoderm,E775_Caudal_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Slc16a3,Npm1,Hnrnpf,Dnmt3b,Gar1,Rgma,Sox9,Phyhipl,Ptch1,Plpp3,Pth2r,Fabp7,Pax3,Fzd10,Hes5
E75_Nascent_mesoderm	E75_Nascent_mesoderm,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Eomes,Tdgf1,Pmepa1,Socs2,Pitx2,Hoxb1,Cdx2,Wnt3a,Hoxa1,Vim,Mesp2,Lefty2,Mesp1
E675_Epiblast	E675_Epiblast,E65_Epiblast,E625_Epiblast	Nanog,Sox2,Pou5f1,Utf1,Esrrb,Fgf4
E125_Osteoblast_prog_B	E125_Osteoblast_prog_B,E115_Osteoblast_prog_B,E105_Osteoblast_prog_B,E95_Osteoblast_prog_B,E85_Neural_crest,E825_Neural_crest,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Emb,Anp32b,Prdx6,Tomm20,Slc16a3,Pax3,Epha4,Nrp2,Alcam,Bmper,Runx2,Twist2,Prrx1,Meis2
